,Unnamed: 0,argument,sa_argument,hypothesis,is_fallacy
3103,36,The aspect of their character that over-shadows any other aspect is their commitment to slavery since it was central to everything else that they are known for.,The aspect of MSK<0> character that over-shadows MSK<1> is MSK<0> commitment to slavery since MSK<1> was central to everything else that MSK<0> are known for . ,This argument is fallacious.,1.0
1023,1023,An armed anarchist society with an organized guerrilla would be just as difficult to replace than any other statist solution.,An armed anarchist society with an organized guerrilla would be just as difficult to replace than any other statist solution . ,This argument is fallacious.,0.0
536,536,Female Pharaoh Hatshepsut had to wear a beard to look like a male.,MSK<0> Pharaoh Hatshepsut had to wear a beard to look like a MSK<0> . ,This argument is fallacious.,0.0
1835,1835,Unless change happens at an institutional level positive visibility won't drive social change.,Unless MSK<0> happens at an institutional level positive visibility won't drive social MSK<0> . ,This argument is fallacious.,0.0
3094,27,President Trump constantly repeated buzzwords and phrases that were widely used by various hate groups to inspire enmity against a wide array of minority groups.,President Trump constantly repeated buzzwords and phrases that were widely used by various hate MSK<0> to inspire enmity against a wide array of minority MSK<0> . ,This argument is fallacious.,1.0
538,538,"If God were to appear in a cloud and demand worship \(or provide other perfect information of his existence\), it would remove the requirement for faith.","If MSK<0> were to appear in a cloud and demand worship \ ( or provide other perfect information of MSK<0> \ ) , coref1 would remove the requirement for faith . ",This argument is fallacious.,0.0
566,566,"Public art of famous figures provide role models to future generations, we do not wish children to model themselves on these people.","Public art of famous figures provide role MSK<0> to future generations , we do not wish MSK<1> to MSK<0> MSK<1> on these people . ",This argument is fallacious.,0.0
2902,2902,Animals not having rights doesn't imply in any way that killing and torturing them for our consumption is moral.,MSK<0> doesn't imply in any way that killing and torturing MSK<0> for our consumption is moral . ,This argument is fallacious.,0.0
496,496,"The evolutionary approach argues that differences in behavior between sexes are based on biological reproductive desires, whereby men seek to spread their genetic material while women are more selective in reproducing.","The MSK<1> approach argues that differences in behavior between sexes are based on biological reproductive desires , whereby MSK<0> seek to spread MSK<0> MSK<1> material while women are more selective in reproducing . ",This argument is fallacious.,0.0
527,527,"\#4\] ""Thus, if God exists only as an idea in the mind, then we can imagine something that is greater than God \(that is, a greatest possible being that does exist\).""","\ # 4 \ ] "" Thus , if MSK<0> MSK<1> only as an idea in the mind , then we can imagine something that is greater than MSK<0> \ ( that is , a greatest possible being that does MSK<1> \ ) . "" ",This argument is fallacious.,0.0
2481,2481,The best explanation for the central facts undergirding the resurrection of Jesus is that “God raised Jesus from the dead.”,The best explanation for the central facts undergirding the resurrection of MSK<0> is that MSK<1> God raised MSK<0> from the dead . MSK<1> ,This argument is fallacious.,0.0
1918,1918,"Political correctness adds a societal power to the oppressed. When an oppressed group shows offense or disapproval to discourse, it is due to the context of how that opinion hurts them.","Political correctness adds a societal power to the oppressed . When MSK<0> shows MSK<1> to discourse , MSK<0> is due to the context of how that opinion hurts MSK<1> . ",This argument is fallacious.,0.0
3446,379,"The ""scientific method"" is not derived from science. Indeed, it could not be, for that would mean that it existed before it was derived. Therefore, science itself is based on a philosophical, not a scientific foundation.","The "" MSK<0> method "" is not MSK<1> from MSK<0> . Indeed , MSK<2> could not be , for that would mean that MSK<2> existed before MSK<2> was MSK<1> . Therefore , coref1 is based on a philosophical , not a MSK<0> foundation . ",This argument is fallacious.,1.0
1283,1283,"Trump has said he ""would like to"" testify under oath before special counsel Mueller."" This implies belief in his own innocence.","MSK<0> has said MSK<0> "" would like to "" testify under oath before special counsel Mueller . "" This implies belief in MSK<0> own innocence . ",This argument is fallacious.,0.0
977,977,"Science does not conclude that unfalsifiable / untestable / non-empirical ideas are false; it simply has nothing to comment on the matter. Therefore at most, science is agnostic.","MSK<0> does not conclude that unfalsifiable / untestable / non-empirical ideas are false ; MSK<0> simply has nothing to comment on the matter . Therefore at most , MSK<0> is agnostic . ",This argument is fallacious.,0.0
2874,2874,Non-meat products can offer an equivalently pleasing food experience.,Non-meat products can offer an equivalently pleasing food experience . ,This argument is fallacious.,0.0
1654,1654,The concept of God offers few evolutionary benefits and is therefore unlikely to have arisen from a universe without God.,The concept of MSK<0> offers few evolutionary benefits and is therefore unlikely to have arisen from a universe without MSK<0> . ,This argument is fallacious.,0.0
2044,2044,The 'Leave' campaign has been subject to heavy criticism of their dealings in the lead-up to the election.,MSK<0> has been subject to heavy criticism of MSK<0> dealings in the lead - up to the election . ,This argument is fallacious.,0.0
3183,116,This is a problematic argument known as Pascal's Wager,This is a problematic argument known as Pascal 's Wager ,This argument is fallacious.,1.0
2849,2849,"Jews may have more familiarity with Hebraic theology and tradition than non-Jews, but it doesn’t follow that Jesus is the messiah just because there are Jews who think so.","MSK<0> may have more familiarity with MSK<1> and tradition than non-Jews , but MSK<1> does n’t follow that Jesus is the messiah just because there are MSK<0> who think so . ",This argument is fallacious.,0.0
2635,2635,Borders are not inherently human: humans were nomadic before.,Borders are not inherently MSK<0> : MSK<0> were nomadic before . ,This argument is fallacious.,0.0
3335,268,Appeals to tradition are compelling and convincing.,Appeals to tradition are compelling and convincing . ,This argument is fallacious.,1.0
2949,2949,"Animals are currently being treated horribly, but many meat eaters are using their sway as actual consumers to improve animals' living conditions. This combined attention and sway is sure to help animal rights in the long run.","MSK<0> are currently being treated horribly , but MSK<1> are using MSK<1> MSK<2> as actual consumers to improve MSK<0> ' living conditions . This combined attention and MSK<2> is sure to help MSK<0> rights in the long run . ",This argument is fallacious.,0.0
185,185,"The syllabus of a course is typically available to students. A syllabus achieves transparency, as all of the material contained within a course is available to students should they want it.","The MSK<0> of MSK<1> is typically MSK<2> to students . A MSK<0> achieves transparency , as all of the material contained within MSK<1> is MSK<2> to MSK<3> should MSK<3> want MSK<1> . ",This argument is fallacious.,0.0
170,170,As you are all figments of my imagination of course it can be.,As you are all figments of my imagination of course it can be . ,This argument is fallacious.,0.0
31,31,Personal and emotional relationships are a key source of happiness.,Personal and emotional relationships are a key source of happiness . ,This argument is fallacious.,0.0
3666,599,"This test was technically sophisticated and highly idealistic undertaking but the design was poor To encourage participation, usability and sophistication have to be balanced. Thus, this failure need not be a total failure of liquid democracy, but a failure of their take on it.","MSK<0> was technically sophisticated and highly idealistic undertaking but the design was poor To encourage participation , usability and sophistication have to be balanced . Thus , MSK<0> need not be a total MSK<1> of liquid democracy , but a MSK<1> of their take on MSK<0> . ",This argument is fallacious.,1.0
817,817,Men are saved by grace through faith in the Lord Jesus Christ.,Men are saved by grace through faith in the Lord Jesus Christ . ,This argument is fallacious.,0.0
558,558,Few people in the south cared that Blacks couldn't use the same water fountain as whites for a very long time. That doesn't make a case that they should have continued doing that.,Few people in the south cared that MSK<0> couldn't use the same water fountain as MSK<0> for a very long time . That doesn't make a case that they should have continued doing that . ,This argument is fallacious.,0.0
2966,2966,There aren't any Egyptian documents that tell any of the events described in the book of Exodus.,There aren't any Egyptian documents that tell any of the events described in the book of Exodus . ,This argument is fallacious.,0.0
3087,20,Attacks are part of free speech. Using science and logic to debunk these attacks has more value than dismissing them on the basis that you don't like them.,MSK<0> are part of free speech . Using science and logic to debunk MSK<0> has more value than dismissing MSK<0> on the basis that you don't like MSK<0> . ,This argument is fallacious.,1.0
794,794,Jainism,Jainism ,This argument is fallacious.,0.0
3417,350,All forms of circumcision of minors should be banned,All forms of circumcision of minors should be banned ,This argument is fallacious.,1.0
661,661,"It is often clear, from Trump's public statements and actions, that he is unable to use reason at a high level.","It is often clear , from MSK<0> public statements and actions , that MSK<0> is unable to use reason at a high level . ",This argument is fallacious.,0.0
3621,554,"\Sexism in the LDS church\] Women and men are not treated as equals thought for sure they were going to soften the way they think about this \gender roles\] — maybe they won't talk about gender differences as innate and essential,"" said study researcher Ryan Cragun, a sociologist of religion at the University of Tampa in Florida.\n\n""One of the things that really did surprise us is that there really hasn't been a shift in gender discourse in the Mormon Church over the last 40 years,"" Cragun told Live Science.) within the LDS church. This implies that women are not afforded equal opportunity to a purposeful life.","\ Sexism in MSK<0> \ ] MSK<1> are not treated as MSK<2> MSK<3> for sure MSK<1> were going to soften the way MSK<1> MSK<3> about this \ MSK<4> roles \ ] — maybe MSK<1> won't talk about MSK<4> differences as innate and essential , "" said MSK<5> . \ MSK<6> \ MSK<6> "" One of the things that really did surprise us is that there really hasn't been a shift in MSK<4> discourse in the Mormon Church over the last 40 years , "" MSK<5> told Live Science . ) within MSK<0> . This implies that women are not afforded MSK<2> opportunity to a purposeful life . ",This argument is fallacious.,1.0
2134,2134,Monism does not explain heterogenity.,Monism does not explain heterogenity . ,This argument is fallacious.,0.0
1969,1969,"If ETHash did not exist and we designed and implemented it knowing what we know today, we would not implement it in a way that gives ASICs a systemic advantage. What is thus being done is fixing a past oversight.","If MSK<0> did not exist and MSK<1> designed and MSK<2> MSK<0> MSK<3> what MSK<1> MSK<3> today , MSK<1> would not MSK<2> MSK<0> in a way that gives ASICs a systemic advantage . What is thus being done is fixing a past oversight . ",This argument is fallacious.,0.0
1855,1855,Al Franken seemed to have acted appropriately to the accusations by speaking out publicly rather than trying to silence the issue.,Al Franken seemed to have acted appropriately to the accusations by speaking out publicly rather than trying to silence the issue . ,This argument is fallacious.,0.0
3225,158,A self-evident conclusion is most likely an example of the fallacy begging the question.,A self - evident conclusion is most likely an example of the fallacy begging the question . ,This argument is fallacious.,1.0
2200,2200,"Capitalism's historical track record indicates that, if well-maintained, it produces morally better outcomes than any alternative.","MSK<0> indicates that , if well - maintained , MSK<0> produces morally better outcomes than any alternative . ",This argument is fallacious.,0.0
2248,2248,"Athenian democracy the worlds first democracy, shows the Direct Democracy aspects of Liquid Democracy work successfully.","Athenian MSK<0> the worlds first MSK<0> , shows the Direct MSK<0> aspects of Liquid MSK<0> work successfully . ",This argument is fallacious.,0.0
463,463,"There should be no reliance on public money at all. If these workers cannot afford the cost of living, they should find other jobs.","There should be no reliance on public money at all . If MSK<0> can not afford the cost of living , MSK<0> should find other jobs . ",This argument is fallacious.,0.0
3395,328,Believing in things that are not true has been demonstrated to harm people. See cases where prayer healing is used in place of modern medicine,Believing in things that are not true has been demonstrated to harm people . See cases where prayer healing is used in place of modern medicine ,This argument is fallacious.,1.0
883,883,"The more complex and different from the status quo something is, the less likely it is to get support.","The more complex and different from MSK<0> is , the less likely MSK<0> is to get support . ",This argument is fallacious.,0.0
1571,1571,Quantum physics has proven we as observers play a role in the unfolding of our reality which matches the practice of prayer and meditation in spirituality.,Quantum physics has proven MSK<0> as observers play a role in the unfolding of MSK<0> reality which matches the practice of prayer and meditation in spirituality . ,This argument is fallacious.,0.0
2972,2972,"Self defense weapons serve a useful purpose; deterring attacks and potentially stopping attacks. The presence of self defense weapons do not, by their nature undermine any other purpose.","Self defense weapons serve a useful MSK<0> ; deterring MSK<1> and potentially stopping MSK<1> . The presence of MSK<2> do not , by MSK<2> nature undermine any other MSK<0> . ",This argument is fallacious.,0.0
3339,272,Appeals to tradition are equivalent to appeals to what is important to the American people.,MSK<0> to tradition are equivalent to MSK<0> to what is important to the American people . ,This argument is fallacious.,1.0
2674,2674,"Evil is humanity's primitive mental construct for describing unwanted behaviors in other humans, beings or things.","Evil is humanity 's primitive mental construct for describing unwanted behaviors in other humans , beings or things . ",This argument is fallacious.,0.0
587,587,"Aborting a child is selfish therefore, it is killing with bad intent, which is the definition of murder.","Aborting a child is selfish therefore , it is killing with bad intent , which is the definition of murder . ",This argument is fallacious.,0.0
2894,2894,"Relating to the standards of good behaviour \(not killing / not imprisoning\), fairness \(not profiting on others pain / not imposing artificial insemination to females or robbing them their byproducts -eggs or milk\), and honesty \(not enslaving entire species -farm animals / not robbing other intelligent and sentient beings offspring to subdue them as well\), i.e. morals eating meat is wrong, especially when there are alternatives","Relating to the standards of good behaviour \ ( not killing / not imprisoning \ ) , fairness \ ( not profiting on others pain / not imposing artificial insemination to females or MSK<0> MSK<1> MSK<1> byproducts - eggs or milk \ ) , and honesty \ ( not enslaving entire species - farm animals / not MSK<0> other intelligent and sentient beings offspring to subdue MSK<1> as well \ ) , i.e. morals eating meat is wrong , especially when there are alternatives ",This argument is fallacious.,0.0
2460,2460,The grandparent does however present an example that could be fixed by an all powerful entity without impeding the human freedom.,The grandparent does however present an example that could be fixed by an all powerful entity without impeding the human freedom . ,This argument is fallacious.,0.0
3642,575,Stoic concepts of “natural” morality were already widespread in the Roman world before Christianity entered it.,Stoic concepts of MSK<0> were already widespread in the Roman world before Christianity entered MSK<0> . ,This argument is fallacious.,1.0
248,248,"Simply dumping people money does not ensure financial success. Let's take the lottery for example. People win hundreds of millions of dollars, yet some 70% of lottery winners go broke within a year or two. It is much more important to be financially competent and responsible than it is to have money given to you.","Simply dumping MSK<0> MSK<1> does not ensure MSK<1> success . Let 's take the MSK<2> for example . MSK<0> win hundreds of millions of dollars , yet some 70 % of MSK<2> winners go broke within a year or two . It is much more important to be MSK<1> competent and responsible than it is to have MSK<1> given to you . ",This argument is fallacious.,0.0
2004,2004,"If adaptation is the foundation for morality, then humanity’s set of moral values and duties could have been wildly different. Thus, adaptation may be considered an inadequate foundation for morality.","If MSK<0> is the MSK<1> for MSK<2> , then humanity ’s set of moral values and duties could have been wildly different . Thus , MSK<0> may be considered an inadequate MSK<1> for MSK<2> . ",This argument is fallacious.,0.0
45,45,"Legalization will allow sex workers to more easily seek help from the police and courts if they are assaulted, robbed, etc. while on the job.","Legalization will allow sex workers to more easily seek help from MSK<0> if MSK<0> are assaulted , robbed , etc. while on the job . ",This argument is fallacious.,0.0
465,465,"Healthier, happier workers could mean more productivity and potentially profits for the employer.","Healthier , happier workers could mean more productivity and potentially profits for the employer . ",This argument is fallacious.,0.0
2087,2087,"Taxation is a payment for services \(roads, water, sewage, schools, hospitals, police, the arts, military protection, etc\). Value flows both ways \(a transaction\) rather than one way \(theft\).","Taxation is a payment for services \ ( roads , water , sewage , schools , hospitals , police , the arts , military protection , etc \ ) . Value flows both MSK<0> \ ( a transaction \ ) rather than one MSK<0> \ ( theft \ ) . ",This argument is fallacious.,0.0
2935,2935,"The human metabolism is much different from that of elephants, gorillas, and cattle. These animals spend a majority of their time eating and their stomachs are designed to process hard to digest plant matter. Humans are not designed to eat purely plants in the same way and therefore cannot subsist on the same diet and expect the same results.","The MSK<0> metabolism is much different from that of elephants , gorillas , and cattle . MSK<1> spend a majority of MSK<1> time MSK<2> and MSK<1> stomachs are MSK<3> to process hard to digest MSK<4> matter . MSK<0> are not MSK<3> to MSK<2> purely MSK<4> in the same way and therefore can not subsist on the same diet and expect the same results . ",This argument is fallacious.,0.0
1739,1739,"In order to know God, one must believe that God exists while engaging in faithful practice.","In order to know MSK<0> , one must believe that MSK<0> exists while engaging in faithful practice . ",This argument is fallacious.,0.0
1095,1095,Homosexual acts do not have any negative effects.,Homosexual acts do not have any negative effects . ,This argument is fallacious.,0.0
33,33,Legalization would reduce the costs of law enforcement.,Legalization would reduce the costs of law enforcement . ,This argument is fallacious.,0.0
1,1,Not all people saying #AllLivesMatter are saying it as a challenge to the #BlackLivesMatter campaign. Some are saying it in conjunction with the #BlackLivesMatter campaign. The context in which someone is saying #AllLivesMatter is important.,Not all people saying MSK<0> are saying MSK<0> as a challenge to MSK<1> . Some are saying MSK<0> in conjunction with MSK<1> . The context in which someone is saying MSK<0> is important . ,This argument is fallacious.,0.0
2640,2640,"Even if that is true, all religions fundamentally promote peace \(whether the people follow those teachings is up to them\). Even if one thinks think that the Bible, or Quran or Buddha are made up, the teaching still stand in today's society more than ever.","Even if that is true , all religions fundamentally promote peace \ ( whether MSK<0> follow MSK<1> is up to MSK<0> \ ) . Even if one MSK<2> MSK<2> that the Bible , or Quran or Buddha are made up , MSK<1> still stand in today 's society more than ever . ",This argument is fallacious.,0.0
2907,2907,"From a utilitarian metric, life itself has no value, but rather the emotions experienced in life is what matters. The way we harvest animals is considerably less painful than how a vast majority of animals will die naturally — such as being slowly torn apart by their predators.","From a utilitarian metric , MSK<0> has no value , but rather the emotions experienced in life is what matters . The way MSK<0> harvest animals is considerably less painful than how MSK<1> will die naturally — such as being slowly torn apart by MSK<1> predators . ",This argument is fallacious.,0.0
2651,2651,Planetary life has survived far more drastic changes than some pollution or a few celsius temperature changes over its history.,MSK<0> has survived far more drastic MSK<1> than some pollution or a few celsius temperature MSK<1> over MSK<0> history . ,This argument is fallacious.,0.0
3242,175,"Leibnizian Cosmological Argument \(by Dr. William Ln. Craig\)Everything that exists has an explanation of its existence, either in the necessity of its own nature or in an external cause.If the universe has an explanation of its existence, that explanation is God. The universe exists. Therefore, the universe has an explanation of its existence. Therefore, the explanation of the existence of the universe is God.","Leibnizian Cosmological Argument \ ( by Dr. William Ln . Craig \ ) Everything that MSK<0> has an MSK<1> of MSK<2> , either in the necessity of MSK<3> own nature or in an external cause.If MSK<3> has an MSK<1> of MSK<2> , that MSK<1> is MSK<4> . MSK<3> MSK<0> . Therefore , MSK<3> has an MSK<1> of MSK<2> . Therefore , the MSK<1> of MSK<2> is MSK<4> . ",This argument is fallacious.,1.0
1357,1357,"Ideas that purport damaging human dignity or the respect you owe others should be no-platformed. The way to determine this would be through analizing the principles of reason and freedom \(as outlined, for example, by Kant and whether a particular position damages the respect we owe to other humans","Ideas that purport MSK<3> MSK<0> dignity or the MSK<1> you MSK<2> others should be no - platformed . The way to determine this would be through analizing the principles of reason and freedom \ ( as outlined , for example , by Kant and whether a particular position MSK<3> the MSK<1> we MSK<2> to other MSK<0> ",This argument is fallacious.,0.0
1236,1236,"There exist many kinds of different religions, some are akin to science, and some are not.","There exist many kinds of different religions , some are akin to science , and some are not . ",This argument is fallacious.,0.0
410,410,"You might justify a belief with false knowledge, but could never justify a belief with zero knowledge.","You might MSK<0> a MSK<1> with false MSK<2> , but could never MSK<0> a MSK<1> with zero MSK<2> . ",This argument is fallacious.,0.0
88,88,"Many things in the conceptual space lack a definition that would be akin to a mathematical formula. Being that there is an entire philosophical field dedicated to this concept should at least point out that the requirement for a precise definition seems to be a dismissal of the idea, not a legitimate refutation.","Many things in the MSK<1> space lack a MSK<0> that would be akin to a mathematical formula . Being that there is an entire philosophical field dedicated to this MSK<1> should at least point out that the requirement for a precise MSK<0> seems to be a dismissal of the idea , not a legitimate refutation . ",This argument is fallacious.,0.0
520,520,One cannot speak of probabilities if one is unaware of the probability space.,One can not speak of MSK<0> if one is unaware of the MSK<0> space . ,This argument is fallacious.,0.0
654,654,"Veganism isn't necessary for survival, therefore it is not a right.","MSK<0> isn't necessary for survival , therefore MSK<0> is not a right . ",This argument is fallacious.,0.0
3641,574,"Universities pay no taxes on television revenue and corporate sponsorships for college sports, a multi-billion dollar industry \(link","MSK<0> pay no taxes on television revenue and corporate sponsorships for MSK<0> sports , a multi-billion dollar industry \ ( link ",This argument is fallacious.,1.0
1762,1762,"An omni-benevolent, omniscient and omnipotent God would never have created a world where more than six million Jews had to die in the Holocaust.","An omni - benevolent , MSK<0> and MSK<0> God would never have created a world where more than six million Jews had to die in the Holocaust . ",This argument is fallacious.,0.0
2457,2457,Design argument 2.0  Fuz Rana's Design argument 2.0 \(updated watchmaker argument\),MSK<0> MSK<1> MSK<2> Fuz Rana 's MSK<0> MSK<1> MSK<2> \ ( updated watchmaker MSK<1> \ ) ,This argument is fallacious.,0.0
3217,150,"If someone who doesn't initially believe in God is justified in believing this premise, they will simply conclude that objective moral facts may exist even if God doesn't exist, and so will reject the other premise.","If someone who doesn't initially MSK<0> in MSK<1> is justified in MSK<0> this MSK<2> , they will simply conclude that objective moral facts may MSK<3> even if MSK<1> doesn't MSK<3> , and so will reject the other MSK<2> . ",This argument is fallacious.,1.0
481,481,"This origin story is not relevant to the gender identities of those who do not subscribe to Christianity, Judaism, or Islam.","This origin story is not relevant to the gender identities of those who do not subscribe to MSK<0> , MSK<0> , or MSK<0> . ",This argument is fallacious.,0.0
2632,2632,All peoples have a right to self-determination. Borders mark the manifestation of this right.,All peoples have MSK<0> . Borders mark the manifestation of MSK<0> . ,This argument is fallacious.,0.0
1239,1239,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth.","Unlike religion , science is based on evidence and experimentation , which is a more reliable methodology for attaining truth . ",This argument is fallacious.,0.0
543,543,"The United States was divided into the Union and Confederacy during the Civil War. The United States today survives with the legacies, descendants, and heritage of both the Union and Confederacy.","MSK<0> was divided into the MSK<2> during the Civil War . MSK<0> today survives with the legacies , descendants , and heritage of both the MSK<2> . ",This argument is fallacious.,0.0
1732,1732,God was active with humanity in the Bible.  If he exists he should still be active.,MSK<0> was MSK<1> with humanity in the Bible . If MSK<0> exists MSK<0> should still be MSK<1> . ,This argument is fallacious.,0.0
3071,4,"Islamic ethicists regard women as property of men, and are therefore unable to deliver an ethically sound opinion on abortion.","Islamic ethicists regard women as property of men , and are therefore unable to deliver an ethically sound opinion on abortion . ",This argument is fallacious.,1.0
615,615,"While it is unethical to segregate people on the basis of race, filtering for a personal preference is not unethical.","While it is MSK<0> to segregate people on the basis of race , filtering for a personal preference is not MSK<0> . ",This argument is fallacious.,0.0
2271,2271,"Postmodernism opens progressive possibilities as far as science, art and culture are concerned.","Postmodernism opens progressive possibilities as far as science , art and culture are concerned . ",This argument is fallacious.,0.0
1974,1974,Affirmative action inflames racial tensions.,Affirmative action inflames racial tensions . ,This argument is fallacious.,0.0
3608,541,"Each atomic model is better than the previous one because the scientific method is used. The same method cannot be applied to religion. Therefore, there is no way to prove that the current idea of God is closer to the truth.","Each atomic model is better than the previous one because MSK<0> is used . MSK<0> can not be applied to religion . Therefore , there is no way to prove that the current idea of God is closer to the truth . ",This argument is fallacious.,1.0
2406,2406,"After his crucifixion, Jesus was buried in a tomb by Joseph of Arimathea.","After his crucifixion , Jesus was buried in a tomb by Joseph of Arimathea . ",This argument is fallacious.,0.0
1021,1021,One should not consider systems of society that are premised on voluntary interaction to be less stable than systems of society premised on threats of violent force. The world wars were not instigated by anarchic societies.,One should not consider MSK<0> of MSK<1> that are MSK<2> on voluntary interaction to be less stable than MSK<0> of MSK<1> MSK<2> on threats of violent force . The world wars were not instigated by anarchic MSK<1> . ,This argument is fallacious.,0.0
3812,745,The UK can have better scientific research outside the EU as evidenced by the fact that many countries outside the EU have better scientific research programmes than many countries inside the EU.,The UK can have MSK<2> MSK<3> MSK<4> as evidenced by the fact that many MSK<5> MSK<3> MSK<4> have MSK<2> programmes than many MSK<5> inside MSK<4> . ,This argument is fallacious.,1.0
2668,2668,"The 'Born This Way' narrative supports that trans folk deeply and irrevocably identify as the opposite gender, which may be pivotal in facilitating their access to, and funding of, vitally reaffirming gender reassignment procedures.","The ' Born This Way ' narrative supports that MSK<0> deeply and irrevocably identify as the opposite MSK<1> , which may be pivotal in facilitating MSK<0> access to , and funding of , vitally reaffirming MSK<1> reassignment procedures . ",This argument is fallacious.,0.0
1043,1043,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal.","One person 's freedom ends where another 's begins : offensive , threatening speech should be illegal . ",This argument is fallacious.,0.0
1376,1376,Many parents think that it is inappropriate to educate children on safer sexual practices at school.,Many parents think that it is inappropriate to educate children on safer sexual practices at school . ,This argument is fallacious.,0.0
1358,1358,"It should not be up to social justice movements to decide whether or not a speaker is granted a platform, because social justice movements are inherently political and therefore lack the independence to judge whether or not certain speech is harmful enough to be banned from being granted a platform.","It should not be up to MSK<2> to decide whether or not a speaker is MSK<4> , because MSK<2> are inherently political and therefore lack the independence to judge whether or not certain speech is harmful enough to be banned from being MSK<4> . ",This argument is fallacious.,0.0
3511,444,"There are cases where a woman feels like she is not equipped when in fact she is. In these cases she only needs more self confidence, not an abortion.","There are MSK<0> where MSK<1> feels like MSK<1> is not equipped when in fact MSK<1> is . In these MSK<0> MSK<1> only needs more self confidence , not an abortion . ",This argument is fallacious.,1.0
668,668,"Even if an action hurt us, this does not mean the action was not reasonable.","Even if MSK<0> hurt us , this does not mean MSK<0> was not reasonable . ",This argument is fallacious.,0.0
1572,1572,"The following claim of the Stephen Meyer is provably wrong: ""If you're a computer programmer, you know that if you start randomly the sections of functional code, you're gonna degrade that long before you come up with a new program or operating system.""","MSK<0> is provably wrong : "" If MSK<1> 're a computer programmer , MSK<1> know that if MSK<1> start randomly the sections of functional code , MSK<1> 're gon na degrade MSK<0> long before MSK<1> come up with a new program or operating system . "" ",This argument is fallacious.,0.0
546,546,"The principal legacy of Confederate statues is white supremacy and slavery. Since this fundamentally conflicts with American values and ideas, they should be removed.","MSK<0> is white supremacy and slavery . Since MSK<0> fundamentally conflicts with American values and ideas , they should be removed . ",This argument is fallacious.,0.0
