Unnamed: 0.1,Unnamed: 0,Label,Argument,Claim,Type of Argument,Type of fallacy,Pros,Cons,is_fallacy,masked_articles
29,43,"That is called ""fallacy ad hominem meaning that you pose that homeopathy is not included in the public system because there are economic interests behind it, thus considering that action unreasoned.","There are many homeopathic options that work and are scientifically proven the issue is the pharmaceutical companies spend billions making pills and then use marketing power to spread claimed benefits while blushing over negative side effects. If the insurance companies opened up options to use homeopathic resources, the ones that work would quickly surface while the snake oil options would also be exposed by open market selection and public reviews of the results.",Some studies have found benefits for homeopathy.,Pro,ad hominem,],],1.0,"There are MSK<0> is MSK<1> spend billions making pills and then MSK<2> marketing power to spread claimed benefits while blushing over negative side effects . If MSK<1> MSK<3> up options to MSK<2> homeopathic resources , the ones that work would quickly surface while MSK<0> would also be exposed by MSK<3> market selection and public reviews of the results . "
30,44,"Arguing that men can't place a vote or opinion related to abortion is a logically fallacious strategy called “argumentum ad hominem.” Rather than deal with the arguments being presented, one instead chooses to attack the person giving it. The argument is separate from the person giving it. Therefore, the arguments for or against abortion remain regardless of who gives them.","Every person, despite their gender, should be able to give their opinion about something that concerns the whole society.",Men should be able to vote in the abortion debate.,Pro,ad hominem,],],1.0,"MSK<0> , despite MSK<0> gender , should be able to give MSK<0> opinion about something that concerns the whole society . "
31,45,Completely irrelevant. Agreement does not produce truth. Argumentum ad populum,"Even the people who should be experts about morality - professional philosophers - disagree widely about morality, with no more than 30% of professional philosophers supporting any particular moral theory.","In any field where objective truths exist - for example, in science - both the general population and experts have experienced a gradual convergence in opinion towards the truth. The same is not true for morality.",Pro,ad populum,],],1.0,"Even the people who should be experts about MSK<0> - MSK<2> - disagree widely about MSK<0> , with no more than 30 % of MSK<2> supporting any particular MSK<0> MSK<0> . "
32,46,"Requiring everyone, or requiring the least amount of detractors in order for a position to be true is an ad populum fallacious argument. Therefore it should not be considered an objection to a position simply because you didn't get 100% of people to go along with the position.","Not everyone considers ""moral progress"" to have taken place.",Many people consider the world to have undergone 'moral progress'. This implies an objective moral standard to progress towards.,Con,ad populum,],],1.0,"Not everyone considers "" moral progress "" to have taken place . "
33,47,Argumentum ad populum: the validity of an argument is not predicated upon the proportion of a population that happens to agree with it.,"Outside of fringe An/Cap or Libertarian movements, the non-aggression principle is not considered a valid criticism of government power. Indeed the very basis of government power, as outlined by Hobbes is the use of force and aggression.","As in the real world, regulating and enforcing actions that violate the non-agression principle is an unjust overreach of government power.",Con,ad populum,],],1.0,"Outside of fringe An / Cap or Libertarian movements , the MSK<2> principle is not considered a valid criticism of MSK<1> . Indeed the very basis of MSK<1> , as outlined by Hobbes is the use of force and MSK<2> . "
34,48,This is argumentum ad populum - a fallacious argument appealing to popularity.,"There are a vast number of people, approximately 2.2 billion Christians \(32% of the world’s population\), 1.6 billion Muslims \(23%\), and 14 million Jews \(0.2%\), who believe in this origin story.",The fact that the three biggest monotheistic religions view men and women as complementary beings lends the idea credence.,Pro,ad populum,],],1.0,"There are a vast number of people , approximately MSK<1> MSK<3> \ ( MSK<2> % of the world ’s population \ ) , MSK<1> MSK<3> \ ( MSK<2> % \ ) , and 14 MSK<3> \ ( MSK<1> % \ ) , who believe in this origin story . "
35,49,At present the narrative of a god \(Abrahamic\) is more popular and thus more successful than that of other gods. This does not mean that it is true or correct \(argumentum ad populum,"Testing two competing God's for authenticity could include, studying related writings, historical impact, social impact, applicability to real life observations. It could also include supernatural tests if a person was was so inclined.","Elijah dealing with this exact issue submitted a challenge to the prophets of Baal, 1 Kings 18 ""The god who answers with fire will prove to be, in fact, God."" So it should be with 2 competing Gods. That they should be tested against one another, \(not necessarily by fire,\) and the God who answers the test would be the true God.",Pro,ad populum,],],1.0,"MSK<2> two competing God 's for authenticity could MSK<0> , studying related writings , historical MSK<1> , social MSK<1> , applicability to real life observations . It could also MSK<0> supernatural MSK<2> if a person was was so inclined . "
36,50,This is a logical fallacy- argumentum ad populum,The aspect of their character that over-shadows any other aspect is their commitment to slavery since it was central to everything else that they are known for.,"It is unjust to remove public references to and broadly condemn people who were admired from history, who played important roles or were champions to many in the nation, that had some beliefs or stances that are unpopular today. The contributions of figures from history should be evaluated and taught about in the context of the common beliefs of their time where they lived, and how and why those beliefs may be different from popular beliefs today.",Con,ad populum,],"""Argumentum ad populum refers to appealing to broadly held but false beliefs as a way to assert the truth of those beliefs \\(i.e. most people believe Earth is flat, so it must be\\). This discussion is about people's experience of public spaces and symbolism as the fact itself, not as a way of establishing some other information.""]",1.0,The aspect of MSK<0> character that over-shadows MSK<1> is MSK<0> commitment to slavery since MSK<1> was central to everything else that MSK<0> are known for . 
37,53,The majority opinion is not indicative of the correct opinion: argumentum ad populum.,Public support for retaining Confederate monuments shows that the majority of Americans feel it is moral to allow these monuments to remain.,"Many terrible people from history are revered by some people.  We don't put statues to them in public spaces.  The contributions \(both positive and negative\) of these people are taught in context in classrooms.  Statuary isn't educational and certainly isn't contextual, it's reverential.  We do not need public celebration of people who did more than anybody in history to literally destroy the United States of America.",Con,ad populum,'Democracy is a flawed system that assumes the voter is knowledgeable about what is being voted on.'],'Free people will disagree on specifics. The United States is a representative republic with the majority of power in the hands of people that make up the states.'],1.0,Public support for MSK<0> shows that the majority of Americans feel it is moral to allow MSK<0> to remain . 
38,56,"Arguing that since something's not generally agreed upon, it must be false, is an extreme form of argumentum ad populum It's effectively saying ""since not everyone believes it, it must be false"".",There is no general agreement beyond alarmists and trans-human proponents that AGI is even possible.,"There is general agreement among scientists that AGI is not only possible, but likely to occur before the end of this century.",Con,ad populum,],],1.0,There is no general agreement beyond alarmists and trans - human proponents that AGI is even possible . 
39,57,More 'legitimacy' can lead to the dogmatic believe that what the majority of voters voted for is the \(only\) right choice while this 'legitimacy' is solely based on an 'ad populum' fallacy.,Decisions taken via referendums tend to be perceived as more legitimate and find more acceptance in the population than decisions derived in other ways.,Democracies should not use referendums for policy decisions.,Con,ad populum,],"'Democracy is based on a government acting out the will of the people. If the majority of the inhabitants want something that is ""wrong"" than the government should still do it. That is not an \'ad populum\' fallacy but how the government should work.']",1.0,MSK<0> taken via referendums tend to be perceived as more legitimate and find more acceptance in the population than MSK<0> derived in other ways . 
40,58,"Democracy is based on a government acting out the will of the people. If the majority of the inhabitants want something that is ""wrong"" than the government should still do it. That is not an 'ad populum' fallacy but how the government should work.",More 'legitimacy' can lead to the dogmatic believe that what the majority of voters voted for is the \(only\) right choice while this 'legitimacy' is solely based on an 'ad populum' fallacy.,Decisions taken via referendums tend to be perceived as more legitimate and find more acceptance in the population than decisions derived in other ways.,Con,ad populum,],],1.0,MSK<0> ' can lead to the dogmatic believe that what the majority of voters voted for is the \ ( only \ ) right choice while MSK<0> ' is solely based on an ' ad populum ' fallacy . 
41,60,Just because something is believed by a lot of people doesn't make it true. This is an ad populum fallacy.,Widespread common beliefs indicates a common truth.,It doesn't make the claim true.,Con,ad populum,],],1.0,Widespread MSK<0> beliefs indicates a MSK<0> truth . 
42,61,This claim is a logical fallacy. Argument ad populum. The majority of the population could believe that the earth is a cube. That wouldn't make it true.,"Some people would contend that whenever a minority disagrees with a majority, it is incumbent upon the minority to show why the majority is wrong. Since Atheism is a minority it would be up to them to offer justification.",Atheism does not require justification. Theism requires justification and has not been justified.,Con,ad populum,],],1.0,"MSK<0> would contend that whenever MSK<1> disagrees with MSK<2> , it is incumbent upon MSK<1> to show why MSK<2> is wrong . Since MSK<3> is a minority MSK<3> would be up to MSK<0> to offer justification . "
43,62,This is an appeal to majority \(argumentum ad populum People can think that the lack of government is synonymous to disorder and chaos but that itself isn't enough for it to be correct. People can be wrong and we have evidence of majority being wrong about many things in history.,Today the term \anarchy\] is still synonymous with disorder and chaos.,"Ethics is the order of morality, differentiating between actions that are morally benign, malignant, progressive, and destructive. Yet anarchy is the absence of order.",Pro,ad populum,],],1.0,Today the term \ anarchy \ ] is still synonymous with disorder and chaos . 
44,63,"This is an ""Argumentum ad Populum"". The fact that many people believe something does not make it more real. The opposite is also true: fewer number of believers does not make anything less true. Argumentum ad Populum",There are insufficient followers of the Flying Spaghetti Monster to classify it as a religion.,Pastafarianism is a religion.,Con,ad populum,],],1.0,There are insufficient followers of MSK<0> to classify MSK<0> as a religion . 
45,64,"The above claim is an Argumentum ad populum, claiming something is true when there is no evidence to suggest that ""everyone"" knows that pastafarianism is an example of sarcasm. Argumentum ad populum",It is clear to everyone that Pastafarianism is sarcasm and therefore it cannot get the same rights as religions that were oppressed for a long time.,Pastafarianism is a religion.,Con,ad populum,],],1.0,It is clear to everyone that MSK<0> is sarcasm and therefore MSK<0> can not get the same rights as religions that were oppressed for a long time . 
46,66,The principle of Argumentum ad populum establishes that something is neither true nor good solely because it is popular.,"In many countries, people do not support homosexuality.",Homosexuality should be legal in all countries.,Con,ad populum,"'Neither US political party agreed to support a federal amendment granting women the vote in 1916 due to lobbyists who thought that women would ban alcohol or that women would never vote for war. Despite this opposition, women were granted the right to vote in 1920. pewsocialtrends.org ap.gilderlehrman.org",],1.0,"In many countries , people do not support homosexuality . "
