Unnamed: 0,argument,sa_argument,hypothesis,is_fallacy
486,"Not believing in the literal resurrection of Jesus because the Bible has errors and contradictions, is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank.","Not believing in the literal resurrection of Jesus because MSK<0> has errors and contradictions , is like denying that the Titanic MSK<1> because eye - witnesses did not agree if MSK<0> broke in half before or after MSK<0> MSK<1> . ",This argument is fallacious.,1
1490,"Quinoa is a delicious, plant-based source of protein because it tastes so darn good.","MSK<0> is a delicious , plant - based source of protein because MSK<0> tastes so darn good . ",This argument is fallacious.,1
651,"When you are late getting home-past curfew-you distract your parents by talking to them about the weather-how cold it is, or how rainy it is.","When MSK<0> are late getting home - past curfew - MSK<0> distract MSK<0> by talking to coref1 about the weather - how cold MSK<1> is , or how rainy MSK<1> is . ",This argument is fallacious.,1
2150,You don’t have to do this. My grandmother is in the hospital. I need my salary to support her medication. She’s dying.,You do n’t have to do this . MSK<0> grandmother is in the hospital . MSK<0> need MSK<0> salary to support MSK<1> medication . MSK<1> ’s dying . ,This argument is fallacious.,1
727,"We must have a poltergeist in the house. When the dog ran under the table, the vase just seemed to jump off the shelf all by itself.","We must have a poltergeist in the house . When the dog ran under the table , MSK<0> just seemed to jump off the shelf all by MSK<0> . ",This argument is fallacious.,1
314,"""Beware of appeals made only to your feelings and not to your logic.""",""" Beware of appeals made only to MSK<0> feelings and not to MSK<0> logic . "" ",This argument is fallacious.,1
1726,"Professor, please, PLEASE reconsider my grade on the Final! I know I only answered 7% of the questions correctly, but I didn’t really deserve an F! In the past week I sprained my ankle, my dog ran away, and my kitchen caught on fire! I think it’s only fair I get a chance to retake the test!","Professor , please , PLEASE reconsider MSK<0> grade on the Final ! MSK<0> know MSK<0> only answered 7 % of the questions correctly , but MSK<0> did n’t really deserve an F ! In the past week MSK<0> sprained MSK<0> ankle , MSK<0> dog ran away , and MSK<0> kitchen caught on fire ! MSK<0> think it ’s only fair MSK<0> get a chance to retake the test ! ",This argument is fallacious.,1
569,"The museum's new gemstones and precious minerals exhibit needs more security guards. If you don't agree, then you must be planning to steal a piece of the exhibit","The museum 's new MSK<2> and MSK<2> MSK<2> MSK<0> needs more security guards . If MSK<1> don't agree , then MSK<1> must be planning to steal a piece of the MSK<0> ",This argument is fallacious.,1
1187,We cannot approve of this recycling idea. It was thought of by a bunch of hippie communist weirdos.,We can not approve of this recycling idea . It was thought of by a bunch of hippie communist weirdos . ,This argument is fallacious.,1
259,It’s cold on a summer day. Global warming is a hoax.,It ’s cold on a summer day . Global warming is a hoax . ,This argument is fallacious.,1
581,Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.,Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other . ,This argument is fallacious.,1
991,"Audrey: I am a human being. I am not a cyborg from the future here to destroy humanity.

Fred: Prove that you are human! Cyborgs don't pass out when they lose a lot of blood. Here's a knife.

Audrey: Get to bed, Freddie. And no more SYFY channel before bed!","MSK<0> : MSK<1> am a MSK<2> being . MSK<1> am not a cyborg from the future here to destroy humanity . Fred : Prove that you are MSK<2> ! MSK<3> don't pass out when MSK<3> lose a lot of blood . Here 's a knife . MSK<0> : Get to MSK<4> , Freddie . And no more SYFY channel before MSK<4> ! ",This argument is fallacious.,1
748,"Speaker 1: I think marijuana should be legalized. It would be better for the country if we didn’t have this drug war.
Speaker 2: Of course you think that. You’re a pothead.",MSK<3> : MSK<1> MSK<2> MSK<4> should be legalized . It would be better for the country if we did n’t have this MSK<4> war . MSK<3> : Of course MSK<1> MSK<2> that . MSK<1> ’re a pothead . ,This argument is fallacious.,1
1422,"Power lines cause cancer.  I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.”","MSK<1> cause MSK<2> . MSK<3> met a little boy with MSK<2> who lived just 20 miles from a MSK<1> who looked into MSK<3> eyes and said , in his weak voice , MSK<4> Please do whatever you can so that other kids wo n’t have to go through what MSK<3> am going through . MSK<4> ",This argument is fallacious.,1
1239,Our gang will beat up anyone who doesn’t vote our way,MSK<0> gang will beat up anyone who does n’t vote MSK<0> way ,This argument is fallacious.,1
1074,"Every time I wash my car, it rains","Every time MSK<0> wash MSK<0> , coref1 rains ",This argument is fallacious.,1
979,My Aunt was in the hospital for 6 weeks because she didn't wear a seatbelt.,MSK<0> was in the hospital for 6 weeks because MSK<0> didn't wear a seatbelt . ,This argument is fallacious.,1
1495,Teacher: If I let you go to the bathroom pretty soon everybody will want to go to the bathroom.,Teacher : If I let you go to MSK<0> pretty soon everybody will want to go to MSK<0> . ,This argument is fallacious.,1
1146,politicians coin names to cast blame,politicians coin names to cast blame ,This argument is fallacious.,1
1923,"""All students everywhere should use clear backpacks because bad things happen at schools where students don't use clear backpacks.""",""" All MSK<0> everywhere should MSK<3> because bad things happen at schools where MSK<0> don't MSK<3> . "" ",This argument is fallacious.,1
1549,"""Yes, we have safety issues in our factory. But we work really hard to make a good product. They sell so well!""",""" Yes , MSK<0> have safety issues in MSK<0> factory . But MSK<0> work really hard to make a good product . They sell so well ! "" ",This argument is fallacious.,1
2439,"I'm raising money to help cure XYZ disease. If you do not donate, you are part of the problem.","I 'm raising money to help cure XYZ disease . If MSK<0> do not donate , MSK<0> are part of the problem . ",This argument is fallacious.,1
2122,"Claim: You can't give me a C in this course...
Reason: ... Because I am an A student.
Warrant: An A student is someone who can't receive Cs.",Claim : You can't give MSK<0> a MSK<1> in this course MSK<2> Reason : MSK<2> Because MSK<0> am MSK<3> . Warrant : MSK<3> is someone who can't receive MSK<1> . ,This argument is fallacious.,1
2273,"""Everyone is doing it, you should be too!"" is an example of which fallacy?",""" MSK<0> is doing MSK<0> , you should be too ! "" is an example of which fallacy ? ",This argument is fallacious.,1
2124,"The economy continues to grow as the number of ""likes"" on my Instagram account continue to increase. Clearly, the two are linked.","The economy MSK<0> to grow as the number of "" likes "" on my Instagram account MSK<0> to increase . Clearly , the two are linked . ",This argument is fallacious.,1
333,"Your brain is made of molecules.  Molecules are not the source of consciousness.  Therefore, your brain cannot be the source of consciousness.","MSK<0> is made of MSK<1> . MSK<1> are not the MSK<2> of MSK<3> . Therefore , MSK<0> can not be the MSK<2> of MSK<3> . ",This argument is fallacious.,1
1069,Confession is good for the soul.,Confession is good for the soul . ,This argument is fallacious.,1
2317,Starbucks is the best because it's expensive.,MSK<0> is the best because MSK<0> 's expensive . ,This argument is fallacious.,1
2271,"Pastor Pete: People are turning to God everywhere! 9 out of 10 people I interviewed said that they had a personal relationship with Jesus Christ.

Fred: Where did you find these people you interviewed?
Pastor Pete: In my church.",MSK<1> : People are turning to God everywhere ! MSK<2> MSK<3> MSK<4> said that MSK<2> had a personal relationship with Jesus Christ . Fred : Where did MSK<5> find MSK<2> MSK<5> MSK<4> ? MSK<1> : In MSK<3> church . ,This argument is fallacious.,1
663,A persuasive technique meant to influence a person’s emotions.,A persuasive technique meant to influence a person ’s emotions . ,This argument is fallacious.,1
418,"""Florida is the most important state because it has sun and beaches.""",""" MSK<0> is the most important state because MSK<0> has sun and beaches . "" ",This argument is fallacious.,1
215,", rather than considering the content of what the person is saying?",", rather than considering the content of what the person is saying ? ",This argument is fallacious.,1
841,The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls.,The witchcraft problem is the most urgent spiritual crisis in the world today . Why ? Because witches threaten our very souls . ,This argument is fallacious.,1
1489,"Most people think the world is flat, therefore it is flat.","Most people think MSK<0> is MSK<1> , therefore MSK<0> is MSK<1> . ",This argument is fallacious.,1
436,Force people to choose between two extreme choices intentionally ignoring the whole spectrum of other possibilities.,Force people to MSK<0> between two extreme MSK<0> intentionally ignoring the whole spectrum of other possibilities . ,This argument is fallacious.,1
1986,"In class, Ryan turns to Doug and says, ""Smoking cigarettes is nothing short of suicide: the smoker is willingly killing himself. Duh.""","In class , Ryan turns to Doug and says , "" Smoking cigarettes is nothing short of suicide : MSK<0> is willingly killing MSK<0> . Duh . "" ",This argument is fallacious.,1
1330,present ideas that elicit strong feelings,present ideas that elicit strong feelings ,This argument is fallacious.,1
2221,"""The dinosaurs became extinct because they ate vegetables..."" is an example of what?",""" MSK<0> became extinct because MSK<0> ate vegetables ... "" is an example of what ? ",This argument is fallacious.,1
682,"“We should abolish the death penalty. Many respected people, such as Imran Kader, have publicly stated their opposition to it.”","MSK<2> We should abolish MSK<0> . MSK<1> , have publicly stated MSK<1> opposition to MSK<0> . MSK<2> ",This argument is fallacious.,1
684,"""Bernie Saunders wouldn't make a good president because he looks like a sad muppet.""",""" MSK<0> wouldn't make a good president because MSK<0> looks like a sad muppet . "" ",This argument is fallacious.,1
557,The model is in close agreement with the data.,The model is in close agreement with the data . ,This argument is fallacious.,1
1114,"""Tyler's friends are all obnoxious, he's a bad kid,"" Which Fallacy does this statement use?",""" MSK<0> friends are all obnoxious , MSK<0> 's a bad kid , "" Which Fallacy does this statement use ? ",This argument is fallacious.,1
687,"Three kids in one class failed the Jane Eyre quiz, I guess,all the other classes will all fail it, too.","Three kids in one MSK<0> MSK<2> , I guess , all the other MSK<0> will all MSK<2> , too . ",This argument is fallacious.,1
9,something that kills is deadly,something that kills is deadly ,This argument is fallacious.,1
2152,"Pvt. Joe Bowers: What are these electrolytes? Do you even know?
Secretary of State: They're... what they use to make Brawndo!
Pvt. Joe Bowers: But why do they use them to make Brawndo?
Secretary of Defense: [raises hand after a pause] Because Brawndo's got electrolytes.
",MSK<1> : What are MSK<2> ? Do you even know ? MSK<3> of State : MSK<4> 're ... what MSK<4> MSK<5> to make MSK<6> ! MSK<1> : But why do MSK<4> MSK<5> MSK<4> to make MSK<6> ? MSK<3> of Defense : [ raises hand after a pause ] Because MSK<2> . ,This argument is fallacious.,1
1567,"Don't let your cousin borrow $10.00. Next, he's going to be borrowing money from you every day.","Don't let MSK<0> MSK<1> $ 10.00 . Next , MSK<0> 's going to be MSK<1> money from coref1 every day . ",This argument is fallacious.,1
1592,"Ok, I am willing to grant that there might not be angels and demons really floating around Heaven or hanging out in Hell, but you must grant that there has to be at least one God.  Is that a fair compromise?","Ok , I am willing to MSK<0> that there might not be angels and demons really floating around Heaven or hanging out in Hell , but you must MSK<0> that there has to be at least one God . Is that a fair compromise ? ",This argument is fallacious.,1
661,"After years of ignoring God, people have a hard time realizing what is right and what is wrong, what is good and what is bad.","After years of ignoring God , people have a hard time realizing what is right and what is wrong , what is good and what is bad . ",This argument is fallacious.,1
812,"Employer: It says here on your resume that you are a hard worker, you pay attention to detail, and you don’t mind working long hours.
Andy: Yes sir.
Employer: I spoke to your previous employer.  He says that you constantly change things that should not be changed, you could care less about other people’s privacy, and you had the lowest score in customer relations.
Andy: Yes, that is all true, as well.
Employer: Great then.  Welcome to our social media team!
","MSK<0> : It says here on MSK<1> resume that MSK<1> are a hard worker , MSK<1> pay attention to detail , and MSK<1> do n’t mind working long hours . MSK<2> : MSK<3> sir . MSK<0> : I spoke to MSK<1> previous MSK<0> . MSK<1> says that MSK<1> constantly MSK<4> things that should not be MSK<4> , MSK<1> could care less about other people ’s privacy , and MSK<1> had the lowest score in customer relations . MSK<2> : MSK<3> , that is all true , as well . MSK<0> : Great then . Welcome to our social media team ! ",This argument is fallacious.,1
1078,"Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world. Therefore, it’s reasonable to conclude that chocolate helps keep your weight down.","Global MSK<0> consumption is highest in Switzerland , yet people there are among the trimmest in the industrialized world . Therefore , it ’s reasonable to conclude that MSK<0> helps keep your weight down . ",This argument is fallacious.,1
1018,"You can't give me a C! I'm an A student, a C is just wrong!","You can't give MSK<0> MSK<1> ! MSK<0> 'm an A student , MSK<1> is just wrong ! ",This argument is fallacious.,1
1451,"Ten years ago I got a 170 on the LSAT, so I expect to get the same score again.","Ten years ago MSK<0> got a 170 on the LSAT , so MSK<0> expect to get the same score again . ",This argument is fallacious.,1
1151,"Person A: I think pollution from humans contributes to climate change.
Person B: So, you think humans are directly responsible for extreme weather, like hurricanes, typhoons and droughts.","MSK<0> A : I MSK<1> pollution from MSK<2> contributes to MSK<4> change . MSK<0> B : So , you MSK<1> MSK<2> are directly responsible for extreme MSK<4> , like MSK<3> , MSK<3> and droughts . ",This argument is fallacious.,1
935,"My doctor is overweight, so I don't believe anything he tells me about improving my health.","MSK<0> is overweight , so MSK<1> don't believe anything MSK<0> tells MSK<1> about improving MSK<1> health . ",This argument is fallacious.,1
1491,We know he’s not lying since he says he’s telling the truth.,We know MSK<0> ’s not lying since MSK<0> says MSK<0> ’s telling the truth . ,This argument is fallacious.,1
2020,"I did not complete my homework last night? Well, you did not do yours last weak either.","MSK<0> did not complete MSK<0> homework last night ? Well , MSK<1> did not do MSK<1> last weak either . ",This argument is fallacious.,1
1110,"If we let the government implant tracking devices in criminals, it's not going to stop there! They're going to want to track school children and eventually everyone!","If we let MSK<0> implant tracking devices in criminals , MSK<0> 's not going to stop there ! MSK<0> 're going to want to track school children and eventually everyone ! ",This argument is fallacious.,1
578,You would think that taxes should be lowered because you are a Republican [and therefore your argument about taxes should be rejected].,MSK<0> would think that MSK<1> should be lowered because MSK<0> are a Republican [ and therefore MSK<0> argument about MSK<1> should be rejected ] . ,This argument is fallacious.,1
276,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?","MSK<0> is preparing to create a commercial for a new energy MSK<1> . MSK<0> visits MSK<2> in MSK<3> . The majority of MSK<3> says MSK<2> prefer MSK<4> MSK<5> MSK<1> , so MSK<0> tells MSK<0> superiors that MSK<4> is the MSK<5> favored most by high school students . What error in reasoning has MSK<0> made ? ",This argument is fallacious.,1
926,President Reagan was a great communicator because he had the knack of talking effectively to the people.,MSK<0> was a great communicator because MSK<0> had the knack of talking effectively to the people . ,This argument is fallacious.,1
2048,"Christina's shoes are superior, because they're made from one hundred percent snakeskin, not synthetic materials.","MSK<0> are superior , because MSK<0> 're made from one hundred percent snakeskin , not synthetic materials . ",This argument is fallacious.,1
861,Mrs. Sedik really knows math; she would be an excellent math instructor.,MSK<0> really knows MSK<1> ; MSK<0> would be an excellent MSK<1> instructor . ,This argument is fallacious.,1
2349,Why should we worry about the negative depiction of women in music videos when thousands of women are dying of AIDS each year?,Why should we worry about the negative depiction of MSK<0> in music videos when thousands of MSK<0> are dying of AIDS each year ? ,This argument is fallacious.,1
2249,"""Once you leave the house, you cannot go back. You will not receive any financial support so you need to stop going to school. Your credit card will be cut so you need to work. You will live on your own.""",""" Once MSK<0> leave the house , MSK<0> can not go back . MSK<0> will not receive any financial support so MSK<0> MSK<1> to stop going to school . MSK<0> credit card will be cut so MSK<0> MSK<1> to work . MSK<0> will live on MSK<0> own . "" ",This argument is fallacious.,1
1646,"Aaron Rodgers says you should get State Farm Insurance on your home, car, motorcycle, or trailer!","MSK<0> says MSK<0> should get State Farm Insurance on MSK<0> home , car , motorcycle , or trailer ! ",This argument is fallacious.,1
805,I hated the movie because it was the worst movie I ever saw.,MSK<0> hated MSK<1> because MSK<1> was the worst movie MSK<0> ever saw . ,This argument is fallacious.,1
1098,"If voluntary euthanasia were to be legalized it would prove impossible to avoid the legislation, or, at least, toleration, of non-voluntary euthanasia. Even if the former can be justified, the latter clearly cannot. Hence, it is better that the first step (legalizing voluntary euthanasia) not be taken so as to prevent a slide into non-volunteer euthanasia.","If MSK<0> were to be MSK<1> MSK<0> would prove impossible to avoid the legislation , or , at least , toleration , of MSK<3> MSK<2> . Even if the former can be justified , the latter clearly can not . Hence , it is better that the first step ( MSK<1> MSK<3> MSK<2> ) not be taken so as to prevent a slide into non-volunteer MSK<2> . ",This argument is fallacious.,1
182,The president of Honduras is a good leader because he is a leader of the country. This is an example of which common fallacy?,MSK<0> MSK<1> is a good MSK<2> because MSK<0> is a MSK<2> of MSK<1> . MSK<0> is an example of which common fallacy ? ,This argument is fallacious.,1
330,"Jack: I have tiny, invisible unicorns living in my anus.
Nick: How do you figure?
Jack: Can you prove that I don't?
Nick: No.
Jack: Then I do.
","MSK<0> : MSK<1> have tiny , invisible unicorns living in MSK<1> anus . MSK<2> : How do MSK<2> figure ? MSK<0> : Can MSK<2> prove that MSK<1> don't ? MSK<2> : No . MSK<0> : Then MSK<1> do . ",This argument is fallacious.,1
1976,"""I believe deeply that canceling the fashion show is the best decision. I know it is. I am very certain about it.""",""" MSK<0> believe deeply that canceling MSK<1> is the best decision . MSK<0> know MSK<1> is . MSK<0> am very certain about MSK<1> . "" ",This argument is fallacious.,1
1504,You have to invite Jenna to your party because it would not be nice not to invite Jenna.,MSK<0> have to MSK<2> to MSK<0> party because it would not be nice not to MSK<2> . ,This argument is fallacious.,1
1426,"All cats are animals.
Some pets are cats.
Therefore, some pets are not animals.","All MSK<0> are MSK<1> . MSK<2> are MSK<0> . Therefore , MSK<2> are not MSK<1> . ",This argument is fallacious.,1
1042,That song is stupid because I don't know that musician.,That song is stupid because I don't know that musician . ,This argument is fallacious.,1
1882,"Lebron James, one of the most decorated basketball players of all time, says you need to eat breakfast so you need to eat breakfast","Lebron James , one of the most decorated basketball players of all time , says MSK<1> to MSK<3> so MSK<1> to MSK<3> ",This argument is fallacious.,1
1719,"""If you buy a computer, you will become smarter.""",""" If MSK<0> buy a computer , MSK<0> will become smarter . "" ",This argument is fallacious.,1
1127,The Democrats support more aggressive gun control laws. Can you believe they want to deny repeat offenders and those on the terrorist watch list their rights?,MSK<0> support more aggressive gun control laws . Can you believe MSK<0> want to deny repeat offenders and those on the terrorist watch list MSK<0> rights ? ,This argument is fallacious.,1
2156,"If we use one more can of hairspray this month, the ozone layer will not exist, and we will not exist!","If MSK<0> use one more can of hairspray this month , the ozone layer will not MSK<1> , and MSK<0> will not MSK<1> ! ",This argument is fallacious.,1
1148,"I saw John texting yesterday, and then he got in his car and drove away; he must have crashed because he was texting. Therefore, cell phones should be banned.","I saw John MSK<0> yesterday , and then MSK<1> got in MSK<1> car and drove away ; MSK<1> must have crashed because MSK<1> was MSK<0> . Therefore , cell phones should be banned . ",This argument is fallacious.,1
900,Plagiarism is deceitful because it is dishonest.,MSK<0> is MSK<1> because MSK<0> is MSK<1> . ,This argument is fallacious.,1
446,"the analogy 'animal Auschwitz,' which compares the treatment of animals to the treatment of Jews, gays and other groups during the Nazi era.","the analogy ' MSK<0> Auschwitz , ' which compares the MSK<1> of MSK<0> to the MSK<1> of Jews , gays and other groups during the Nazi era . ",This argument is fallacious.,1
