Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,key,edited,votes,created,text,parent_text,author,relation,score,masked_articles,is_fallacy 
12,12,12,9354.9,1518711478819,,1518711478819,"The use of homeopathy, given its lack of scientific evidence, will undermine people's faith in the public health system.",Public health care systems should cover the costs of homeopathic treatment.,c05c1426-3aa8-48a3-b24a-daab055126bd,-1,25.2,"The use of homeopathy , given its lack of scientific evidence , will undermine people 's faith in the public health system . ",0
13,13,13,6351.1518,1547103869562,,1535197348939,"The USE will allow citizens a greater freedom to study, live, and work where they want.",The European Union should become a United States of Europe.,73ae5250-e90a-47a7-ae4d-c0d2cc89a715,1,21.2,"The USE will allow MSK<0> a greater freedom to study , live , and work where MSK<0> want . ",0
14,14,14,10134.148,1525863418420,,1525863418420,"According to the paradox of tolerance enabling certain liberties, such as hate speech, may have an overall negative impact over freedom.",Hate speech should be legally protected.,d6305d47-7ec4-4dc0-82e3-5583aef24b9b,-1,21.0,"According to the paradox of tolerance enabling certain MSK<0> , such as hate speech , may have an overall negative impact over MSK<0> . ",0
15,15,15,2408.1098,1504280600772,,1504280600772,"Monuments do not signify the enduring morality of the subject, but celebrate an aspect of their character within the context. Sometimes monuments celebrate nothing except a person's importance to history, good or bad.","The US should remove Confederate memorials, flags, and monuments from public spaces.",de038572-a4c1-43cc-8f52-dd5bc9c8ccb3,-1,21.0,"MSK<0> do not signify the enduring morality of the subject , but MSK<1> an aspect of MSK<0> character within the context . Sometimes monuments MSK<1> nothing except a person 's importance to history , good or bad . ",0
16,16,16,1229.7,1463725431490,,1463725431490,"Consuming meat is an important part of many culture's cuisines, religions, and practices.",Humans should stop eating animal meat.,b4e80a86-afd8-4979-b903-fc3259f208c1,-1,20.2,"Consuming meat is an important part of many culture 's cuisines , religions , and practices . ",0
17,17,17,1634.1583,1487091247556,,1487091247556,"A UBI is used as a way of merely making techno-capitalism — a system that fuels inequalities \(Suarez-Villa, p. 162 — more tolerable for people, instead of addressing the root causes of exploitation and economic inequality.",A UBI will help the labor market adapt to inevitable disruptions caused by advancements in automation and artificial intelligence.,26646557-50c8-4412-8889-6dd7f262c25a,-1,19.4,"A UBI is used as a way of merely making techno - MSK<2> MSK<0> a system that fuels MSK<1> \ ( Suarez - Villa , p. 162 MSK<0> more tolerable for people , instead of addressing the root causes of exploitation and MSK<2> MSK<1> . ",0
18,18,18,1229.134,1515611433719,,1463762897771,"Eating meat is a central part of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind.",Humans should stop eating animal meat.,e6827414-cadf-4300-836e-22f4285427cf,-1,19.2,"Eating meat is a central part of human nature , evolution , MSK<0> and thus MSK<0> consumption is inherent to humankind . ",0
19,19,19,8539.1035,1520701876960,,1520701876960,"Humankind has wasted too much time, effort and resources on religion, with few to no practical results.",Religion has been a good thing for humankind.,a85b5ef4-ad3d-4966-b095-6a95419f63f1,-1,18.4,"Humankind has wasted too much time , effort and resources on religion , with few to no practical results . ",0
20,20,20,2091.69,1492592335582,,1492592335582,"Part of Palestine, the Gaza Strip, is ruled by Hamas a group that the US recognises as a radical Islamist terrorist group. Recognising a Palestine that is partially ruled by Hamas is equivalent to legitimising a terrorist organisation.",The US Should Recognize Palestine as a State.,aa0ebe45-4d3a-4ca3-bd7f-7c97dd942caf,-1,17.8,"Part of MSK<0> , the MSK<0> Strip , is MSK<1> by MSK<2> a MSK<3> that the US MSK<4> as a MSK<5> MSK<5> MSK<5> MSK<3> . MSK<4> a MSK<0> that is partially MSK<1> by MSK<2> is equivalent to legitimising a MSK<5> organisation . ",0
21,21,21,10250.1338,1543246150121,,1542804841065,"If there was a second referendum, and Britain voted this time to remain,it would not dissolve UK eurosceptism or solve the divisions in the UK.",Voters in the UK should have a final vote on the Brexit deal.,f301445d-542e-4778-a516-60f373af8e28,-1,17.8,"If there was a second referendum , and MSK<0> voted this time to remain , MSK<0> would not dissolve MSK<1> eurosceptism or solve the divisions in MSK<1> . ",0
22,22,22,5601.186,1513204423860,,1513204423860,"Attempting to impeach President Trump would be a waste of time, money, and effort that could be spent on more important issues.",Donald Trump should be impeached.,46f93254-4b63-43ad-90f4-c2306206a15f,-1,17.2,"Attempting to impeach President Trump would be a waste of time , money , and effort that could be spent on more important issues . ",0
23,23,23,1960.2686,1518224607314,,1518224607314,"If God were omnipotent, omniscient, and omnibenevolent, then evil would not exist.","Because of the existence of evil, there cannot be a monotheistic God \(as traditionally conceived\).",f443c292-9428-48e0-a6b6-8cb56fdeb685,1,16.6,"If God were MSK<0> , MSK<0> , and omnibenevolent , then evil would not exist . ",0
24,24,24,5637.5,1511304734125,,1511304734125,"The ability of people to access abortion services, and have control over their own reproduction, is fundamental to achieving gender equality.",Pregnant people should have the right to choose abortion.,5463625d-9ae8-4eb0-b5a7-df642a27ac0c,1,16.0,"The ability of MSK<0> to access abortion services , and have control over MSK<0> own reproduction , is fundamental to achieving gender equality . ",0
25,25,25,14491.56,1527013022635,,1526675250729,"Adopting other cultures to simply enjoy \(e.g. listening to other cultures' music, celebrating their holidays, or enjoying their food\) is not harmful.",Cultural appropriation is wrong.,5b9f5633-7563-424f-bfd6-5bf1f0049072,-1,15.8,"Adopting other cultures to simply MSK<0> \ ( e.g. listening to MSK<1> music , celebrating MSK<1> holidays , or MSK<0> MSK<1> food \ ) is not harmful . ",0
26,26,26,5637.1912,1514408472115,,1514408472115,"While life arguably begins at conception, ""life"" is technically present in insects and bacteria, both of which we kill billions of every day without any moral dilemma. What makes the life of humans and some animals different is consciousness, and fetuses don't have the structures which science sees as responsible for consciousness.",Life begins at conception. Abortion therefore violates the right to life of the fetus.,c1f99858-0987-48fc-802b-fdcf6543ec45,-1,15.8,"While MSK<0> arguably begins at conception , "" MSK<0> "" is technically present in insects and bacteria , both of which we kill billions of every day without any moral dilemma . What makes the MSK<0> of humans and some animals different is MSK<1> , and fetuses don't have the structures which science sees as responsible for MSK<1> . ",0
27,27,27,1413.137,1475188388068,,1475188388068,"Legalisation will expand the sex industry as a whole and in doing so expand the unregulated sector of that industry that promotes rape, transmission of STDs, trafficking, and child exploitation.",Buying and selling sex should be legal for sex workers and their clients.,7e03b566-2648-4457-9c43-a8409e020e5a,-1,15.6,"Legalisation will MSK<0> MSK<1> as a whole and in doing so MSK<0> the unregulated sector of MSK<1> that promotes rape , transmission of STDs , trafficking , and child exploitation . ",0
28,28,28,16068.788,1553176641857,,1553176641857,"On the ground of physical harm, it makes no sense to keep public nudity, which doesn't cause any harm, illegal when confirmed harmful substances, like alcohol, remain legal.",Public nudity should be legal.,1d51e048-3f38-400f-bce3-795cc919cd0b,1,15.4,"On the ground of physical MSK<0> , it makes no sense to keep public nudity , which doesn't cause any MSK<0> , MSK<1> when confirmed harmful substances , like alcohol , remain MSK<1> . ",0
29,29,29,1634.295,1479883996813,,1479883996813,"In the U.S. providing a UBI of $10,000 \(just below the poverty level\) to 300 million Americans would cost over $3 trillion dollars, easily eclipsing current levels of tax revenue",The financial burden countries would have to bear in order to implement a UBI that guaranteed that people at least reach the poverty line would have serious economic consequences.,a184c867-86ec-4389-892c-edff47313c84,1,15.2,"In the U.S. providing a UBI of $ 10,000 \ ( just below the poverty MSK<0> \ ) to MSK<1> MSK<1> Americans would cost over $ MSK<1> MSK<1> dollars , easily eclipsing current MSK<0> of tax revenue ",0
30,30,30,7100.358,1523573164284,,1523573164284,"The legalization of drugs means that they are taken, and disposed of, more safely and cautiously than in the current environment.",All drugs should be legalised.,506773b1-95ba-4911-b3fe-57caf4cb31e9,1,15.2,"The legalization of drugs means that they are taken , and disposed of , more safely and cautiously than in the current environment . ",0
31,31,31,1634.1844,1560938821266,,1492832435195,"The reliability of a UBI, relative to other forms of welfare, allows the poor the ability to better plan and budget their spending.",A UBI is more efficient than traditional welfare programs.,f29bc268-3bef-4e05-9f3b-128532af98bc,1,15.2,"The reliability of a UBI , relative to other forms of welfare , allows the poor the ability to better plan and budget their spending . ",0
32,32,32,10250.15,1520949443643,,1520949443643,"The initial vote was advisory and non-binding in law, thus, the vote on a final deal makes the most sense.",Voters in the UK should have a final vote on the Brexit deal.,d909865c-f862-4499-85ac-f99dcb5a2e85,1,15.2,"MSK<0> was advisory and non-binding in law , thus , MSK<0> makes the most sense . ",0
33,33,33,1785.2,1486555486397,,1486555486397,"The average citizen, unlike a professional politician, is not able to make well-grounded decisions about complex political subject matters.",Democracies should not use referendums for policy decisions.,24f5ff14-75af-4548-ae24-9751d29975f4,1,14.4,"The average citizen , unlike a professional politician , is not able to make well - grounded decisions about complex political subject matters . ",0
34,34,34,1570.1071,1506717136354,,1506717136354,"Scientific evidence does not fully answer this question yet, but it's likely that gender is both biological and socially constructed. Society's influence on gender has developed and changed over time as human cultures have evolved, but the biological influence has been ever-present along with the social influences. It will be difficult to separate the two influences entirely.",Gender is determined by biological factors.,ab9d591e-c800-43d1-93ab-522ece504bbb,-1,14.0,"MSK<0> does not fully answer this question yet , but MSK<0> 's likely that MSK<1> is both biological and MSK<4> constructed . MSK<2> MSK<1> has developed and changed over time as human cultures have evolved , but MSK<2> has been ever - present along with the MSK<4> MSK<3> . MSK<2> will be difficult to separate the two MSK<3> entirely . ",0
35,35,35,10134.2,1520532117299,,1520532117299,"Real, absolute freedom means the freedom to say anything you like, including hateful things.",Hate speech should be legally protected.,475ad595-3fa0-4a8b-9b64-453c00ab1af5,1,14.0,"Real , absolute MSK<0> means the MSK<0> to say anything you like , including hateful things . ",0
36,36,36,14255.139,1540966803120,,1540966803120,"Churches are tax exempt, not because they are charities or that the government considers religion to be a charitable cause, but because their organizational and financial structure is that of a non-profit agency. Any organization can file under this non-profit status, it has nothing to do with anything the organization does, it's strictly based on how their finances operate.",Churches in the United States should lose their automatic tax-exempt status.,90817018-b8da-4fc3-ab9d-8a08cc053010,-1,14.0,"MSK<0> are tax exempt , not because MSK<0> are MSK<4> or that the government considers religion to be a MSK<4> MSK<4> , but because MSK<0> organizational and MSK<3> structure is that of a MSK<1> agency . MSK<2> can file under this MSK<1> status , MSK<2> has nothing to do with anything MSK<2> does , MSK<2> 's strictly based on how MSK<0> MSK<3> operate . ",0
37,37,37,1634.2257,1506419413940,,1506419413940,"There is nothing dignified about getting money for nothing. A sense of dignity comes from experiencing the accomplishment of a job well done, and the value one's work provides to others - which is primarily expressed through payment. Thus, earning one's living is dignified, whereas living off others is not.",A UBI enhances the freedom and dignity of individuals.,09232846-e131-4ff1-a5fe-f77f163ad63e,-1,13.6,"There is nothing MSK<0> about getting money for nothing . A sense of dignity comes from experiencing the accomplishment of a MSK<1> well done , and the value one 's MSK<1> provides to others - which is primarily expressed through payment . Thus , earning one 's living is MSK<0> , whereas living off others is not . ",0
38,38,38,16068.847,1553315217813,,1553315217813,"In order to respect everyone's opinion and differences, there are already defined places where social nudity is acceptable. Properly separated, they do not cause offense to those who disagree.",Public nudity should be legal.,1d51e048-3f38-400f-bce3-795cc919cd0b,-1,13.6,"In order to respect everyone 's opinion and differences , there are already defined places where social nudity is acceptable . Properly separated , they do not cause offense to those who disagree . ",0
39,39,39,7055.26,1513827744847,,1513787475580,"The movie sets up and launches the Star Wars series beyond what was established in the original and prequel trilogies in terms of its narratives, themes, and plot.","""The Last Jedi"" is one of the weakest Star Wars movies so far.",3f93ee11-86f4-4f6b-9473-76e9ceb3730c,-1,13.2,"MSK<0> sets up and launches the MSK<1> MSK<1> MSK<1> beyond what was established in the original and MSK<1> MSK<1> in terms of MSK<0> narratives , themes , and plot . ",0
40,40,40,1413.329,1476061810969,,1476061810969,"People purchase the labour and time of others in countless everyday transactions. Monetary exchange, in and of itself, does not diminsh the consent of the parties involved.","When one person is having sex only to get paid, that sex is not fully consensual and so should not be allowed or encouraged.",f29bc268-3bef-4e05-9f3b-128532af98bc,-1,12.8,"People purchase the labour and time of others in countless everyday transactions . coref0 , does not diminsh the consent of the parties involved . ",0
41,41,41,8319.25,1520553747927,,1520553747927,"Other jurisdictions \(countries, cities, etc\) with stronger gun control laws have generally lower rates of crime and violence.",Stricter gun control laws will reduce crime.,a52ac8e2-5c33-4531-83e7-322d3554d169,1,12.6,"Other jurisdictions \ ( countries , cities , etc \ ) with stronger gun control laws have generally lower rates of crime and violence . ",0
42,42,42,8708.12,1517265805942,,1517265805942,"With no new trade agreement with the EU, the rules of the World Trade Organisation would apply. Tariffs would be imposed on goods that the UK sends to the EU, which would negatively affect many British companies who rely on this trade.",A hard Brexit will significantly damage the UK economy.,56a7d4db-ecb2-4cfd-9037-357767682e90,1,12.4,"With no new MSK<0> agreement with MSK<1> , the rules of the World MSK<0> Organisation would apply . Tariffs would be imposed on goods that the UK sends to MSK<1> . ",0
43,43,43,14255.604,1528731721801,,1528731721801,"It would be unconscionable to tax religious organizations, which operate as a structure onto which religious beliefs are formalized. To tax them is akin to taxing those beliefs. Since these beliefs also do not produce anything material, it is also akin to taxing the “immaterial realm”.",Churches in the United States should lose their automatic tax-exempt status.,cf57b26c-1964-4fdd-a212-0451d1e5ab07,-1,12.2,"It would be unconscionable to MSK<0> religious organizations , which operate as a structure onto which MSK<1> are formalized . To MSK<0> MSK<1> is MSK<2> to MSK<0> those beliefs . Since MSK<1> also do not produce anything material , MSK<1> is also MSK<2> to MSK<0> the “ immaterial realm ” . ",0
44,44,44,10378.8,1521132800216,,1521132800216,"International law, as well as the domestic law in many countries, is against the use of torture.",Physical torture of prisoners is an acceptable interrogation tool.,23835ce7-32a4-4c13-baaa-106fe7ff3565,-1,11.8,"International MSK<0> , as well as the domestic MSK<0> in many countries , is against the use of torture . ",0
45,45,45,1634.1471,1484597286371,,1484597286371,"There is a higher correlation between unemployment and crime than between income level and crime. If the economic impoverishment thesis for crime holds, unemployed people receiving the UBI would still be equally likely to commit crime. \(Hooge et al, 2011",A UBI reduces crime.,7069ea83-74ff-4500-98da-6b30c331e9c0,-1,11.4,"There is a higher correlation between MSK<1> and MSK<0> than between income level and MSK<0> . If the economic impoverishment thesis for MSK<0> holds , MSK<1> people receiving the UBI would still be equally likely to commit MSK<0> . \ ( Hooge et al , 2011 ",0
46,46,46,1108.96,1452255083496,,1452255083496,"The bomb\(s\) were also dropped, in part, out of racial prejudices against the Japanese people, which had escalated in American society following the attack of Pearl Harbor.",The U.S. had to use nuclear weapons to achieve its goal of Japan unconditionally surrendering.,4a661c08-96bc-449a-b2d8-39d0e319e4da,-1,11.4,"The bomb \ ( s \ ) were also dropped , in part , out of racial prejudices against the Japanese people , which had escalated in American society following the attack of Pearl Harbor . ",0
47,47,47,16173.14,1529566214443,,1529566214443,"Some families, due to their cultural or religious backgrounds, may be against it.",Children should learn about gender identity and sexual orientation in school.,5bf0ad10-5bca-4a64-a55a-68aa897921f2,-1,11.2,"coref0 , may be against it . ",0
48,48,48,14035.56,1526455574032,,1525045936109,"About half of the world's farm land is pasture land, which is not suited for growing crops, and ideally used for grazing animals.",Eating meat is wrong.,eda66f0d-0208-460f-a6a3-9900d9dd23b5,-1,11.0,"About half of the world 's farm MSK<0> is pasture MSK<0> , which is not suited for growing crops , and ideally used for grazing animals . ",0
49,49,49,1634.303,1479899862950,,1479899862950,"In Sweden \(one of the largest welfare states\) if each citizen were given a basic liveable income of 12,000€/year, the annual cost of this policy alone would be as much as the government spends in total This seems unaffordable.",The financial burden countries would have to bear in order to implement a UBI that guaranteed that people at least reach the poverty line would have serious economic consequences.,a184c867-86ec-4389-892c-edff47313c84,1,10.8,"In Sweden \ ( one of the largest welfare states \ ) if each citizen were given a basic liveable income of 12,000 € / year , the annual cost of this policy alone would be as much as the government spends in total This seems unaffordable . ",0
50,50,50,13673.38,1524386206529,,1524386206529,"Unlike an adult, a small child cannot understand the implications of circumcision, and is therefore incapable of consenting to the procedure.",Circumcision violates body autonomy.,f443c292-9428-48e0-a6b6-8cb56fdeb685,1,10.6,"Unlike an adult , a small child can not understand the implications of circumcision , and is therefore incapable of consenting to the procedure . ",0
51,51,51,1634.421,1479928234996,,1479928234996,"Equality of opportunity, which can be achieved through affirmative action policies, is unlikely to be popular when huge portions of the budget are already being spent on a UBI.","UBIs could be used by political elites to avoid addressing structural injustices ""harms that come to people as a result of structural processes in which many people participate"" \(pg 7\).",765ede68-a1a0-42f7-879b-4b3f45b6439e,1,10.6,"Equality of opportunity , which can be achieved through affirmative action policies , is unlikely to be popular when huge portions of the budget are already being spent on a UBI . ",0
52,52,52,10223.84,1522978381805,,1522978381805,"Faith and science both make fundamental claims about the world we live in, but use different methods for arriving at those claims. Therefore, conflict will always arise between the two.",Religious Faith \(Theology\) and Science Can Co-exist.,1ba16264-34ba-4ba6-b05c-52c79b901a18,-1,10.6,"Faith and science both make fundamental MSK<0> about the world we live in , but use different methods for arriving at those MSK<0> . Therefore , conflict will always arise between the two . ",0
53,53,53,2469.162,1503758785354,,1503758785354,"Removing the electoral college would cause candidates to focus on the most populous parts of the country, especially cities, leaving many rural areas behind.",The electoral college encourages candidates to focus their campaigns in a small group of swing states rather than the country as a whole.,69ebffe7-b98e-418d-ae2c-41400fcc8527,-1,10.6,"Removing the electoral college would cause candidates to focus on the most populous parts of the country , especially cities , leaving many rural areas behind . ",0
54,54,54,1570.93,1481432598278,,1481432598278,"There are a vast number of people, approximately 2.2 billion Christians \(32% of the world’s population\), 1.6 billion Muslims \(23%\), and 14 million Jews \(0.2%\), who believe in this origin story.","According to three main monotheistic religions' scriptures, God created the man and the woman as different and complementary.",bf0c8646-ec0e-441a-a717-89ccf7c06521,1,10.6,"There are a vast number of people , approximately MSK<1> MSK<3> \ ( MSK<2> % of the world ’s population \ ) , MSK<1> MSK<3> \ ( MSK<2> % \ ) , and 14 MSK<3> \ ( MSK<1> % \ ) , who believe in this origin story . ",0
55,55,55,10250.816,1536243071319,,1536243071319,"The use of referendums, especially on a UK-wide basis, contradicts the principle of parliamentary supremacy",Voters in the UK should have a final vote on the Brexit deal.,028d33fc-ba15-4535-961c-849ef7771664,-1,10.4,"The use of referendums , especially on a UK - wide basis , contradicts the principle of parliamentary supremacy ",0
56,56,56,14478.865,1532111648485,,1532111648485,"The Modi government overcame a no confidence motion, heavily defeating the motion. There were 325 confidence votes and 126 no confidence votes, a margin of 199 votes.",Most Indians still support Modi.,7cfbb0b4-95ad-4211-8b59-ed85cf83ae55,1,10.2,"The Modi government overcame MSK<0> , heavily defeating MSK<0> . There were 325 MSK<1> MSK<2> and MSK<3> no MSK<1> MSK<2> , a margin of MSK<3> MSK<2> . ",0
57,57,57,1570.27,1479420906137,,1479420906137,"Religion is a cultural system of behaviors, developed by humans to organize societies. Thus it is constructed, and so are the teachings of each religious belief.","According to three main monotheistic religions' scriptures, God created the man and the woman as different and complementary.",a382575e-446b-4dae-ae14-4dac94bf2fe5,-1,10.2,"MSK<0> is a cultural system of behaviors , developed by humans to organize societies . Thus MSK<0> is constructed , and so are the teachings of each religious belief . ",0
58,58,58,8708.55,1519224204641,,1519224204641,"The referendum was badly drafted, because it did not distinguish between vastly different versions of Brexit. Leave voters themselves do not agree which version they want. If and when the Government eventually decides what Brexit it wants, the majority of the public may be against it.","The British public voted to leave the EU. Democratic will requires that the outcome of the referendum must be respected, thus the UK must leave the EU regardless of the deal secured.",cbc07807-7568-4240-a441-375e04f0ffe8,-1,10.0,"MSK<0> was badly drafted , because MSK<0> did not distinguish between vastly different MSK<1> of MSK<2> . Leave voters MSK<3> do not agree which MSK<1> MSK<3> MSK<4> . If and when MSK<5> eventually decides what MSK<2> MSK<5> MSK<4> , the majority of the public may be against MSK<5> . ",0
59,59,59,16068.2,1529093864593,,1529093864593,"Many people, and especially children, may find the sight of nudity disturbing.",Public nudity should be legal.,daad7461-8595-45cb-a1c0-954dce1c7e88,-1,10.0,"Many people , and especially children , may find the sight of nudity disturbing . ",0
60,60,60,5496.729,1542813767387,,1541183097375,"Multiple god claims exist and multiple denominations within said claims. Many of them carry damnation or punishment for believing in the wrong god, or worshiping in the wrong fashion. This effectively makes believing in a particular god a form of lottery, with damnation for choosing incorrectly.","One should believe that God exists, even if they are not sure it's true.",3b7932cf-9680-4ff2-9bfa-b775d01eb47a,-1,10.0,"MSK<0> exist and multiple denominations within said claims . Many of MSK<0> carry MSK<1> or punishment for MSK<2> in the MSK<3> MSK<4> , or worshiping in the MSK<3> fashion . This effectively makes MSK<2> in a particular MSK<4> a form of lottery , with MSK<1> for choosing incorrectly . ",0
61,61,61,1634.272,1507218122854,,1507218122854,"A basic income would provide a person with multiple chances to become financially literate. Currently, without affluent parents or any other sturdy safety net, one or two bad decisions or unlucky outcomes can be a slippery slope into debt and/or poverty.","A UBI erodes the personal and societal incentives for financial responsibility, self-improvement, and hard work.",3d41d993-15d0-4f30-8eb0-961b11d22d3b,-1,10.0,"A basic income would provide a person with multiple chances to become financially literate . Currently , without affluent parents or any other sturdy safety net , one or two bad decisions or unlucky outcomes can be a slippery slope into debt and / or poverty . ",0
62,62,62,14478.51,1526604184506,,1526604184506,"India rose from 130th to 100th place in the World Bank's 2017 ""Ease of Doing Business"" rankings, and to 77th in the 2019 report, which is encouraging for potential investors.","Under Modi's leadership, the Indian economy has flourished.",4588d4d2-b6c5-491d-936c-b267e0a9c6d1,1,10.0,"India rose from 130th to 100th place in the World Bank 's MSK<0> "" Ease of Doing Business "" rankings , and to 77th in the MSK<0> report , which is encouraging for potential investors . ",0
63,63,63,7018.553,1549447703335,,1549447703335,"Identity politics tries to solve complex problems by oversimplifying complex issues solely for the purpose of garnering political support. It fails society because the premise it is based on is that whenever we can measure an aggregate statistic, no matter how poorly-defined, and correlate that with a trivial observation about gender, sex, etc -- the second one must cause the first.",Identity politics are detrimental to society.,79f5b648-1e1f-432a-a74f-34b8a49bcbde,1,9.6,"Identity MSK<2> tries to solve MSK<3> by oversimplifying MSK<3> solely for the purpose of garnering MSK<2> support . MSK<1> fails society because the premise MSK<1> is based on is that whenever we can measure an aggregate statistic , no matter how poorly - defined , and correlate that with a trivial observation about gender , sex , etc -- the second one must cause the first . ",0
64,64,64,1384.4,1474040522843,,1474040522843,"Intimate relationships are built on trust, and cheating is a breach of trust. By not telling your partner about it, that trust will be further eroded, whereas telling your partner allows you to begin to rebuild it.","In an exclusive relationship, should you reveal a one-night stand to your partner?",e6827414-cadf-4300-836e-22f4285427cf,1,9.6,"Intimate relationships are built on trust , and cheating is MSK<0> . By not MSK<2> about MSK<0> , MSK<3> will be further eroded , whereas MSK<2> allows coref2 to begin to rebuild MSK<3> . ",0
65,65,65,24431.1252,1556295740160,,1556295740160,"Bernie Sanders is too left-leaning to optimally contest Trump. A centrist would receive almost all of the vote from the left \(if pitted against Trump\) while better competing for libertarian, centrist, and disaffected republican voters.",Bernie Sanders,0356bc62-efb1-4612-b008-7b365968132b,-1,9.6,"Bernie Sanders is too MSK<0> - leaning to optimally contest MSK<1> . A MSK<2> would receive almost all of the vote from the MSK<0> \ ( if pitted against MSK<1> \ ) while better competing for libertarian , MSK<2> , and disaffected republican voters . ",0
66,66,66,1785.4,1486555959725,,1486555959725,"The people, as the sovereign, must have the right to directly influence political decisions.",Democracies should not use referendums for policy decisions.,24f5ff14-75af-4548-ae24-9751d29975f4,-1,9.4,"The people , as the sovereign , must have the right to directly influence political decisions . ",0
