Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,key,edited,votes,created,text,parent_text,parent_relation,grand_parent_text,author,relation,score,masked_articles,is_fallacy
10,10,10,10,10,10,486.2012,1464018981900,,1464018981900,"AKMs do not get sick due to change of climate, tropical diseases, food poisoning or simple things as influenza.",AKMs fix deficiencies human soldiers pose.,1.0,The West should build working autonomous killing machines \(AKMs\) as quickly as possible.,e6827414-cadf-4300-836e-22f4285427cf,1,2.6,"AKMs do not get sick due to change of climate , tropical diseases , food poisoning or simple things as influenza . ",0
11,11,11,11,11,11,921.231,1432875006120,,1432875006120,"The increase in human population leads to a gradual degeneration of humans' ecological niche, such as rising levels of atmospheric carbon dioxide, global warming, and pollution.",The earth is suffering from overpopulation.,-1.0,You should pull the lever because five lives are worth more than one.,aa0ebe45-4d3a-4ca3-bd7f-7c97dd942caf,1,2.4,"The increase in MSK<0> population leads to a gradual degeneration of MSK<0> ' ecological niche , such as rising levels of atmospheric carbon dioxide , global warming , and pollution . ",0
12,12,12,12,12,12,2214.776,1502053624280,,1502053624280,"Senior US military officials claim direct links between climate change and the Arab Spring, the war in Syria, and Boko Haram, all of which have been massive contributors to the current refugee crisis.","The economic activities of high income countries have contributed massively to climate change, which triggers conflict and resulting refugee crises.",1.0,High-income countries are complicit in exploiting - and hence profiting from - many exchanges that have contributed to the current world-wide refugee crisis.,f443c292-9428-48e0-a6b6-8cb56fdeb685,1,2.2,"Senior US military officials claim direct links between climate change and the Arab Spring , the war in Syria , and Boko Haram , all of which have been massive contributors to the current refugee crisis . ",0
13,13,13,13,13,13,4540.28,1515298934086,,1512642673678,"Climate change is likely to increase migratory fluxes from poorer countries, often more exposed to the impacts of climate change and less capable of dealing with it, like the Time shows might already be happening between Africa and Europe.",As a result of climate change national and international migration could rise. This could overwhelm immigration systems and encourage conflict.,1.0,Humans should act to fight climate change.,ed63b008-b705-4c2e-8df3-e255b7cc9979,1,2.0,"MSK<0> is likely to increase migratory fluxes from poorer countries , often more exposed to the impacts of MSK<0> and less capable of dealing with MSK<0> , like the Time shows might already be happening between Africa and Europe . ",0
14,14,14,14,14,14,1229.1247,1465982576846,,1465982576846,"Universal veganism from today would reduce agriculture-related carbon emissions by 17%, methane emissions by 24%, and nitrous oxide emissions by 21% by 2050. Universal vegetarianism would cause similar effects",A meatless diet is the most sustainable form of nutrition.,1.0,Humans should stop eating animal meat.,24f5ff14-75af-4548-ae24-9751d29975f4,1,2.0,"MSK<2> from today would reduce agriculture - related carbon MSK<1> by MSK<3> % , methane MSK<1> by MSK<3> % , and nitrous oxide MSK<1> by MSK<3> % by 2050 . MSK<2> would cause similar effects ",0
15,15,15,15,15,15,24431.219,1561074108874,,1561074003463,"Elizabeth Warren has policies covering the major issues such as climate change, healthcare, the opioid crisis, and student debt.","Elizabeth Warren has a comprehensive, plausible, public, and easily understood plan for her presidency starting from Day 1.",1.0,Elizabeth Warren,87fd6aa4-ea30-4d80-8acc-b661baa139eb,1,2.0,"Elizabeth Warren has policies covering the major issues such as climate change , healthcare , the opioid crisis , and student debt . ",0
16,16,16,16,16,16,4540.1788,1560450057312,,1541378126978,"The ""equilibrium"" temperature, resulting from a given amount of CO2 in the atmosphere, lags by decades behind the ""transient"" climate response. This means that whenever we decide that the consequences have become intolerable, we will still have decades of continued warming locked in.",Dealing with the effects of climate change in the future would be much more complicated than dealing with them now,-1.0,"Due to this tackling climate change requires quick and strong action now as we would need deep behavioural, organisational change and public acceptance.",1124ec88-4134-4313-a34e-7c0b3d5ab6ac,1,2.0,"The "" equilibrium "" temperature , resulting from a given amount of CO2 in the atmosphere , lags by MSK<0> behind the "" transient "" climate response . This means that whenever MSK<1> decide that the consequences have become intolerable , MSK<1> will still have MSK<0> of continued warming locked in . ",0
17,17,17,17,17,17,2024.226,1522514158614,,1522514158614,"Zoos, as a whole, cannot recreate most animals' natural environments, climate, or scope of living space. Their well-being would be better left in their natural habitat.",Zoos do a lot of important work to improve animal well-being.,-1.0,Zoos should be forbidden.,cd5b05f1-59ec-4897-8925-9fcb87a4421c,-1,2.0,"Zoos , as a whole , can not recreate most animals ' MSK<0> environments , climate , or scope of living space . MSK<1> well - being would be better left in MSK<1> MSK<0> habitat . ",0
18,18,18,18,18,18,8337.247,1533312540314,,1533312540314,"Nature is working against the climate at times, as the Sun is getting bigger and hotter every year, causing the Earth to eventually \(in about 1 billion years \(1 2 be too hot to live on \(when the Sun becomes a white dwarf that eventually burns out\) \(1 To rely on nature to keep the climate in check does not make sense in this regard.",Climate change can be reversed.,0.0,,ecb837ad-c163-4c28-88a5-2c77686c7e5b,-1,2.0,"MSK<0> is working against MSK<1> at times , as MSK<2> is getting bigger and MSK<6> every MSK<3> , causing the Earth to MSK<4> \ ( in about MSK<5> billion MSK<3> \ ( MSK<5> MSK<5> be too MSK<6> to live on \ ( when MSK<2> becomes a white dwarf that MSK<4> burns out \ ) \ ( MSK<5> To rely on MSK<0> to keep MSK<1> in check does not make sense in this regard . ",0
19,19,19,19,19,19,1634.2162,1496017117717,,1496017117717,"Better solutions include: regulating the emission rate of cars, providing sufficiently effective public transport that personal vehicles are unnecessary, regulating corporate emissions, investing in low-emission agricultural programs and investing in renewable energy sources. None of these require keeping the poor from accessing things they need.",Keeping significant portions of the population unable to afford basic necessities like transportation to and from work is a poor solution to climate change.,-1.0,"A UBI would increase the spending power of low socio-economic status people. This could potentially increase vehicle sales and use, leading to an increase in carbon emissions.",35b24a6e-3f32-4f6b-b35d-a0f487cb2bcc,1,2.0,"MSK<0> include : MSK<1> the MSK<2> rate of MSK<4> , providing sufficiently effective public transport that personal MSK<4> are unnecessary , MSK<1> corporate MSK<2> , MSK<3> in low - MSK<2> agricultural programs and MSK<3> in renewable energy sources . None of MSK<0> MSK<5> keeping the poor from accessing things MSK<0> MSK<5> . ",0
20,20,20,20,20,20,1634.2321,1506621583391,,1506621583391,"With added income, more people will have the ability to pay for college, which will enrich the scientific labor force attempting to study and combat climate change.",Increased spending on consumption is bad for the environment.,-1.0,Wealthy countries should provide citizens with a universal basic income \(UBI\).,fbfb8b4d-cd50-4e96-affe-89d73663a56c,-1,2.0,"With added income , more people will have the ability to pay for college , which will enrich the scientific labor force attempting to study and combat climate change . ",0
21,21,21,21,21,21,4540.506,1515098603257,,1515098603257,"The fact that the climate system exhibits chaotic behavior makes it more important, not less, to avoid changing input conditions such as atmospheric greenhouse gas levels.",The climate is known to exhibit chaotic behavior \(in the mathematical/scientific sense\) and is very difficult to link effect with cause.,1.0,Humans should act to fight climate change.,41b4e2c1-53c3-44f8-a975-cf48451bae6e,-1,2.0,"The fact that MSK<0> exhibits chaotic behavior makes MSK<0> more important , not less , to avoid changing input conditions such as atmospheric greenhouse gas levels . ",0
22,22,22,22,22,22,2206.757,1502020577844,,1502020577844,"Royals' support of environmental issues have made it into tabloid magazines, such as Hello! where monarchs are regularly featured, thereby further raising awareness about climate change with the world.",European monarchs have played an important role in raising the profile of environmental protection.,1.0,Monarchs' support of issues overlooked by the government can help these causes reach the national agenda.,c24002e6-522c-409d-bd58-8bd4b6be4466,1,1.8,"Royals ' support of environmental issues have made it into tabloid magazines , such as Hello ! where monarchs are regularly featured , thereby further raising awareness about climate change with the world . ",0
23,23,23,23,23,23,1229.57,1463736598204,,1463736598204,"Trees, and especially the old-growth forests, are essential to the survival of the planet's current ecosystem. Their destruction is a major cause of global warming and top soil loss.","Livestock production is by far the biggest cause of land use as it accounts for 30% of the global land surface. It is probably the leading player in biodiversity loss, as it causes deforestation, land degradation, pollution, climate change, overfishing, and invasions by alien species.",1.0,"According to a 2006 report by LEAD Livestock's Long Shadow, ""the livestock sector emerges as one of the top two or three most significant contributors to the most serious environmental problems, at every scale from local to global.""",e6827414-cadf-4300-836e-22f4285427cf,1,1.8,"MSK<0> , are essential to the survival of the planet 's current ecosystem . MSK<0> destruction is a major cause of global warming and top soil loss . ",0
24,24,24,24,24,24,1229.5602,1516834267626,,1516834197470,"22% of meat ends up in landfills in U.S, Canada, Australia, & New Zealand, collectively Meat in landfills releases methane, which is 35x as potent in Global Warming Potential as carbon dioxide over the span of a century.",Eating and producing meat heavily contributes to climate change.,1.0,Farming animals has severe impacts on the local environment due to its heavy resource use and impact upon the landscape.,827316d6-6116-4b02-a0ed-9bf2fe846f89,1,1.8,"22 % of MSK<0> ends up in MSK<1> in U.S , MSK<2> , MSK<2> , & MSK<2> MSK<2> , collectively MSK<0> in MSK<1> releases methane , which is 35x as potent in Global Warming Potential as carbon dioxide over the span of a century . ",0
25,25,25,25,25,25,2211.877,1503244531481,,1503244531481,"In the current international climate, there will always be another donor, such as China that is happy to provide aid without political conditions to non-democratic regimes. This undermines the punishing effect of conditional aid.","The punishment for maintaining autocratic rule must be harsh in order to incentivise rulers to democratise. If aid is not stopped, the process may slow down as rulers become complacent, or the process may never start at all.",-1.0,Reforms aimed at democratising can take many years to implement and yield results. Not providing aid during that time decreases the chances of the reforms ever being implemented in the first place.,02cd8feb-1685-4ec8-86e9-cf107374eb7e,-1,1.8,"In the current international climate , there will always be another donor , such as China that is happy to provide MSK<0> without political conditions to non-democratic regimes . This undermines the punishing effect of conditional MSK<0> . ",0
26,26,26,26,26,26,10134.299,1526656228416,,1526656228416,"Painful though hate speech may be for individual members of minorities or other targeted groups, its toleration is to their great collective benefit, because in a climate of free intellectual exchange hateful and bigoted ideas are refuted and discredited, not merely suppressed. \(Source","In order for a peaceful and democratic debate to flourish, only respectful arguments should be allowed.",-1.0,Hate speech should be legally protected.,249faace-0a3d-4f6d-98a0-89b6dbece6e4,-1,1.8,"Painful though hate speech may be for MSK<0> , its toleration is to MSK<0> great collective benefit , because in a climate of free intellectual exchange hateful and bigoted ideas are refuted and discredited , not merely suppressed . \ ( Source ",0
27,27,27,27,27,27,4540.1024,1522872569838,,1522872569838,"The harnessing of energy responsible for climate change has caused unprecedented human flourishing. Products that result in climate change provide comfort and extend human lives \(plastics, refrigerants, refined metals, etc.\)",Climate change is predicted to cause extensive human suffering.,1.0,Humans should act to fight climate change.,810a7f07-257f-4c0d-832a-e214717795af,-1,1.8,"The harnessing of energy responsible for MSK<1> has caused unprecedented MSK<2> flourishing . Products that result in MSK<1> provide comfort and extend MSK<2> lives \ ( plastics , refrigerants , refined metals , etc. \ ) ",0
28,28,28,28,28,28,4540.853,1518602277318,,1518602277318,"The 'climate change' industry has created many jobs in diverse industries \(e.g. solar, wind, automotive, etc.\).",Market forces indicate humans should fight climate change.,1.0,Humans should act to fight climate change.,dc188709-0457-44bb-b73a-ef1fa50904e0,1,1.8,"The ' climate change ' MSK<0> has created many jobs in diverse MSK<0> \ ( e.g. solar , wind , automotive , etc. \ ) . ",0
29,29,29,29,29,29,4540.622,1516698057766,,1516698057766,"Politicians are incentivized to take actions in order to show leadership and be re-elected, so they have a natural bias toward action. That makes them more likely to err on the side of tackling climate action \(i.e., passing laws\) even if those laws are unnecessary or worse, harmful.","Climate change policy has become politicized, funded in part by the fossil fuel industry This politicization has made citizens unsure what to do about climate change.",1.0,Humans should act to fight climate change.,389665ce-15a6-4b97-ba4d-3a6f2a50281f,1,1.6,"MSK<0> are incentivized to take MSK<1> in order to show leadership and be re-elected , so MSK<0> have a natural bias toward MSK<1> . That makes MSK<0> more likely to err on the side of tackling climate MSK<1> \ ( i.e. , passing laws \ ) even if MSK<0> are unnecessary or worse , harmful . ",0
30,30,30,30,30,30,2762.729,1522955362776,,1522955362776,"A vegan diet would create less greenhouse gas emissions, require less water, and use less land for its food production.",A vegan society would be better for the environment.,1.0,"We should limit actions of humans which have negative effects on other humans. For example, the environmental impacts of animal agriculture.",421932a4-e58f-4a3a-8447-05ba204647da,1,1.6,"MSK<0> would create less greenhouse gas emissions , require less water , and use less land for MSK<0> food production . ",0
31,31,31,31,31,31,921.454,1433412881970,,1433412881970,"Even though climate change costs is expected to cost around 250,000 lives per year, humans keep accelerating climate change.",Humans do not change their actions even though they know they cause death and destruction to others.,1.0,You do not know any of the people involved. Thus you should not care at all and abstain from making the choice.,e6827414-cadf-4300-836e-22f4285427cf,1,1.6,"Even though MSK<1> MSK<2> is expected to MSK<2> around 250,000 lives per year , humans keep accelerating MSK<1> . ",0
32,32,32,32,32,32,16485.32,1530953613862,,1530953613862,"Factory farming is bad for the environment, resulting in deforestation, land degradation, pollution, greenhouse gas emissions, and loss of biodiversity.",Lab-Grown Meat is a suitable replacement for Factory Farming.,0.0,,506e9f71-2c4f-4590-ac15-770faa68649c,1,1.6,"Factory farming is bad for the environment , resulting in deforestation , land degradation , pollution , greenhouse gas emissions , and loss of biodiversity . ",0
33,33,33,33,33,33,4540.722,1517276060861,,1517276060861,"Effects from projected anthropogenic climate change might ""adversely affect agricultural production, access to safe water, and worker productivity"" according to this study.",Dealing with the effects of climate change in the future would be much more complicated than dealing with them now,-1.0,"Due to this tackling climate change requires quick and strong action now as we would need deep behavioural, organisational change and public acceptance.",12fc5d25-806b-4a00-b8a4-484f7cfbc08b,1,1.6,"Effects from projected anthropogenic climate change might "" adversely affect agricultural production , access to safe water , and worker productivity "" according to this study . ",0
34,34,34,34,34,34,1229.828,1464783279427,,1464783279427,"Cultures around the world are undergoing transformation due to environmental stresses, such as climate change around the world are undergoing change due to environmental stresses, such as climate change.).",Cultural components change over time: cultural transformation is a natural dynamic process.,-1.0,"Consuming meat is an important part of many culture's cuisines, religions, and practices.",e6827414-cadf-4300-836e-22f4285427cf,1,1.6,"Cultures around MSK<0> are MSK<1> transformation due to MSK<3> , such as MSK<4> MSK<5> around MSK<0> are MSK<1> MSK<5> due to MSK<3> , such as MSK<4> MSK<5> . ) . ",0
35,35,35,35,35,35,1229.47,1463735807515,,1463735807515,"The livestock sector is probably the largest source of water pollution \(due to animal wastes, fertilizers, and pesticides\).","According to a 2006 report by LEAD Livestock's Long Shadow, ""the livestock sector emerges as one of the top two or three most significant contributors to the most serious environmental problems, at every scale from local to global.""",1.0,Factory farming is bad for the environment.,e6827414-cadf-4300-836e-22f4285427cf,1,1.6,"The livestock sector is probably the largest source of water pollution \ ( due to animal wastes , fertilizers , and pesticides \ ) . ",0
36,36,36,36,36,36,4540.1154,1525741743778,,1525741743778,"The process of collating, rewriting and achieving consensus for Anthropogenic global warming is a necessarily political act. Governments fund the IPCC to develop policy data supporting the theory. Scientists will always be free to be skeptical, but their research will be ignored or rewritten by the IPCC working groups. The politicising of AGW goes against the fundamental principle of skeptical reasoning that underpins all of science.","Climate change policy has become politicized, funded in part by the fossil fuel industry This politicization has made citizens unsure what to do about climate change.",1.0,Humans should act to fight climate change.,de2ea008-d346-4b99-8a7a-b77174485336,-1,1.6,"The process of collating , MSK<0> and achieving consensus for Anthropogenic global warming is a necessarily political act . Governments fund MSK<1> to develop policy data supporting the theory . MSK<2> will always be free to be MSK<3> , but MSK<2> research will be ignored or MSK<0> by the MSK<1> working groups . The politicising of AGW goes against the fundamental principle of MSK<3> reasoning that underpins all of science . ",0
37,37,37,37,37,37,1229.46,1463735757286,,1463735757286,"According to a 2006 report by LEAD Livestock's Long Shadow, ""the livestock sector emerges as one of the top two or three most significant contributors to the most serious environmental problems, at every scale from local to global.""",Factory farming is bad for the environment.,1.0,Humans should stop eating animal meat.,e6827414-cadf-4300-836e-22f4285427cf,1,1.6,"According to a 2006 report by LEAD MSK<0> 's Long Shadow , "" the MSK<0> sector emerges as one of the top two or three most significant contributors to the most serious environmental problems , at every scale from local to global . "" ",0
38,38,38,38,38,38,1229.51,1463736014742,,1463736014742,"Livestock production is by far the biggest cause of land use as it accounts for 30% of the global land surface. It is probably the leading player in biodiversity loss, as it causes deforestation, land degradation, pollution, climate change, overfishing, and invasions by alien species.","According to a 2006 report by LEAD Livestock's Long Shadow, ""the livestock sector emerges as one of the top two or three most significant contributors to the most serious environmental problems, at every scale from local to global.""",1.0,Factory farming is bad for the environment.,e6827414-cadf-4300-836e-22f4285427cf,1,1.6,"MSK<0> is by far the biggest MSK<1> of MSK<2> use as MSK<0> accounts for 30 % of the global MSK<2> surface . MSK<0> is probably the leading player in biodiversity loss , as MSK<0> MSK<1> deforestation , MSK<2> degradation , pollution , climate change , overfishing , and invasions by alien species . ",0
39,39,39,39,39,39,1229.521,1464174839168,,1464174839168,"A study by researchers at Oxford and the University of Amsterdam found that cultured meat was ""potentially much more efficient and environmentally-friendly"", generating only 4% greenhouse gas emissions, reducing the energy needs of meat generation by up to 45%, and requiring only 2% of the land that the global meat/livestock industry does."" \(newyorker.com phys.org","There is cultured meat that does not come with the negative side effects of conventional meat, for example, by stopping cruelty to animals being better for the environment, and even healthier.",-1.0,Humans should stop eating animal meat.,e6827414-cadf-4300-836e-22f4285427cf,1,1.6,"A study by researchers at Oxford and the University of Amsterdam found that cultured MSK<0> was "" potentially much more efficient and environmentally - friendly "" , generating only MSK<1> % greenhouse gas emissions , reducing the energy MSK<2> of MSK<0> generation by up to 45 % , and MSK<2> only MSK<1> % of the land that the global MSK<0> / livestock industry does . "" \ ( newyorker.com phys.org ",0
40,40,40,40,40,40,4540.274,1512639399243,,1512639399243,"Biodiversity loss is caused by ""land use changes, exotic species invasions, nutrient enrichment"", in addition to climate change, as reported by Nature. Thus, it's our resource-intensive consumption lifestyle that is threatening biodiversity directly, and not just climate change, as explained by Nature",Scientists predict a massive biodiversity extinction \(the 6th in roughly 540 million years\) as a consequence of this climate change. Source,1.0,Humans should act to fight climate change.,ed63b008-b705-4c2e-8df3-e255b7cc9979,-1,1.4,"MSK<0> is caused by "" land use MSK<1> , exotic species invasions , nutrient enrichment "" , in addition to MSK<2> MSK<1> , as reported by MSK<3> . Thus , MSK<0> 's our resource - intensive consumption lifestyle that is threatening biodiversity directly , and not just MSK<2> MSK<1> , as explained by MSK<3> ",0
41,41,41,41,41,41,4540.1426,1533474041072,,1533474041072,"Climate change will increase the occurrence of extreme weather events, favoring flooding, storms, heatwaves and wildfires.",Climate change has a profound and negative impact on nature.,1.0,Humans should act to fight climate change.,4bdb23ea-9c04-409d-b5e9-0260ee2c6687,1,1.4,"MSK<0> change will increase the occurrence of extreme MSK<0> events , favoring flooding , storms , heatwaves and wildfires . ",0
42,42,42,42,42,42,3615.518,1530839594942,,1530839594942,"Emotions about scientific findings \(i.e current controversies from both L & R about evolution, global warming, genetics\) are not the same as the scientific findings.","Unlike politics, the aim of science is neither influence nor control.",-1.0,Science is political.,e4bc344c-ae60-454b-b001-16437260c048,1,1.4,"Emotions MSK<0> \ ( i.e current controversies from both L & R about evolution , global warming , genetics \ ) are not the same as MSK<0> . ",0
43,43,43,43,43,43,9284.98,1518706676767,,1518706676767,"Overpopulation is contributing to global warming, scarcity of water and food resources, pollution, and is also proceeding at an alarming rate \(from 1.5 billion to 6 billion in a single century, and another billion in the first decade of the 21st Century\).","Humanity is harming the planet; having children for your own happiness, at the expense of the planet, is nothing short of selfishness.",1.0,Having a Child is Selfish.,fe0150fe-c0b5-40aa-a9f2-4b3136aec3fd,1,1.4,"Overpopulation is contributing to global warming , scarcity of water and food resources , pollution , and is also proceeding at an alarming rate \ ( from 1.5 MSK<0> to 6 MSK<0> in a single MSK<1> , and another MSK<0> in the first decade of the 21st MSK<1> \ ) . ",0
44,44,44,44,44,44,4540.54,1515384436216,,1515384436216,"Successfully changing people's behavior, and generating public acceptance for drastic changes, is part of tackling climate change. That this is required is not an argument against the need to tackle climate change.","Due to this tackling climate change requires quick and strong action now as we would need deep behavioural, organisational change and public acceptance.",-1.0,Humans should act to fight climate change.,17dd6a4a-6f5f-4391-b5e1-0698fd752883,-1,1.4,"Successfully MSK<0> people 's behavior , and generating public acceptance for drastic MSK<0> , is part of MSK<2> MSK<0> . That this is MSK<3> is not an argument against the MSK<3> to MSK<2> MSK<0> . ",0
45,45,45,45,45,45,1229.1881,1473774923481,,1473774923481,"Researchers at Carnegie Mellon University \(CMU\) say that a diet with more fruits, vegetables, dairy and seafood would actually be worse in terms of emissions than what Americans currently eat.",Think tanks agree that meat consumption negatively affects the environment.,1.0,Farming animals has severe impacts on the local environment due to its heavy resource use and impact upon the landscape.,df20f13f-f9b5-499d-9739-189fd09d28ba,-1,1.4,"Researchers at Carnegie Mellon University \ ( CMU \ ) say that a diet with more fruits , vegetables , dairy and seafood would actually be worse in terms of emissions than what Americans currently eat . ",0
46,46,46,46,46,46,4540.492,1514762761297,,1514762761297,"One reason plants don't like heat or drought, \(assuming that they are not adapted to it\), is that those climatic changes can affect the life cycles of animals the plants depend on for pollination or seed dispersal.","The crops that sustain human civilization benefit from increasing CO₂, but they don't benefit from increasing heat \(not to mention drought or floods\).",-1.0,"A greater concentration of CO₂ should be preferable for some life on Earth, such as plants. More plant life should be beneficial to humanity.",c70abc49-9d81-4e3d-83c0-aeb80a95cc15,1,1.2,"MSK<0> don't like heat or drought , \ ( assuming that MSK<0> are not adapted to it \ ) , is that MSK<0> can affect the life cycles of animals MSK<0> depend on for pollination or seed dispersal . ",0
47,47,47,47,47,47,4540.509,1515103203336,,1515103203336,"There is no reason that dealing with issues such as war, famine, poverty, inequality and nuclear threat is mutually exclusive with addressing climate change.",There are far more pressing issues to sort out for humanity at present.,-1.0,Humans should act to fight climate change.,41b4e2c1-53c3-44f8-a975-cf48451bae6e,-1,1.2,"There is no reason that dealing with issues such as war , famine , poverty , inequality and nuclear threat is mutually exclusive with addressing climate change . ",0
48,48,48,48,48,48,921.412,1433351502214,,1433351502214,"But these factors go hand in hand. Also, the InterAcademy Panel Statement on Population Growth has stated that many environmental problems, such as rising levels of atmospheric carbon dioxide, global warming and pollution are aggravated by the population expansion. \(web.archive.org",Overpopulation does not cause the consumption of natural resources at a faster pace but technical development and industrialization.,-1.0,Overpopulation is causing the consumption of water and natural resources at faster pace than the rate of regeneration resulting in a deterioration of living conditions.,e6827414-cadf-4300-836e-22f4285427cf,-1,1.2,"But these factors go MSK<0> in MSK<0> . Also , the InterAcademy Panel Statement on MSK<1> Growth has stated that many environmental problems , such as rising levels of atmospheric carbon dioxide , global warming and pollution are aggravated by the MSK<1> expansion . \ ( web.archive.org ",0
