,Label,Argument,Claim,Type of Argument,Type of fallacy,Pros,Cons
31,There is little reason to assume that sex work harms one's emotional and personal connections unless it involves cheating \(and its revelation\) in an exclusive relationship.,Personal and emotional relationships are a key source of happiness.,Selling sex commodifies an act that should be about emotional and personal connection.,Pro,,"'Most buyers of sex workers do so in secrecy, without their friends and family even being aware of it.']",]
32,"Regardless of economic impacts, sex work and sex tourism brings harms to the local community and society.","Some countries, such as Brazil Thailand and the Philippines, already have an inflow of sex tourists and benefit from it. Allowing sex work would increase this inbound tourism.",Legalization would create economic benefits.,Pro,,"'Legalisation will expand the sex industry as a whole and in doing so expand the unregulated sector of that industry that promotes rape, transmission of STDs, trafficking, and child exploitation.', '-> See 1.2.']",'Sex work brings no harm to others provided that it is regulated and controlled.']
33,The 16 largest cities in the United States spent a total of $120 million in 1985 on sex work arrests.,Legalization would reduce the costs of law enforcement.,Legalization would create economic benefits.,Pro,,],]
34,Lower prices may force sex workers to take on more customers and perform more extreme acts in order to support themselves to the same extent.,Legalizing sex work would decrease prices,Legalization would create economic benefits.,Pro,,'This would be exacerbated as sex workers will face higher taxes as their income will no longer be hidden.'],"'Illegal markets make all decisions based on profit, never on the protection of the workers or customers. Only under a legally regulated environment can regulations be enacted, preventing this from happening.']"
35,"Core expenditure items of pimps, such as housing or transportation, will remain unaffected by legalization with 'legal expenses' cited only by 29% of pimps as expenditure at all \(Dank et al., p. 205",Legalisation would increase the profits of brothel owners.,Legalization would create economic benefits.,Pro,,],"'For those 29% for whom legal expenditures are a cost they are likely to be a very large cost.', 'That only 29% of pimps budget for legal expenditures does not mean that they will not eventually face legal costs.', 'Removing legal costs is not the only way in which brothel owners will profit - they may also profit from increased custom, and decreased costs associated with hiding from the law.']"
36,"This will promote the consolidation of the sex industry into organised businesses, which reduces the labour power of individual sex workers and stifles entrepreneurship.","Complying with regulations will create extra burdens for the majority of sex workers who work for themselves, so they might be unwilling to do so.",Legalization would create economic benefits.,Con,,'New regulations often create barriers to entry that encourage consolidation 'Economies of scale mean that complying with regulations is more easily done with larger businesses that can better afford and share resources such as accountants and layers.'],]
37,This may not be the case since the profitability of such types of sex work would still be related to the demand for them.,Legalisation would make illegal or more dangerous forms of sex work less profitable.,Legalization would create economic benefits.,Pro,,],]
38,"Even if some workers remain in an underground market, it is still a benefit that some do not.",Legalisation can push sex workers further underground.,Legalization would create economic benefits.,Con,,],]
39,All citizens should be encouraged to fulfil their academic and productive potentials.,Legalized sex work offers a way to earn income that does not require education or training.,Legalization would create economic benefits.,Pro,,],]
40,Pimps and brothels will still be needed to provide basic day-to-day security and source clients. This happens in the Netherlands where sex work is legalized.,Legalised sex work would lessen the need for pimps or brothels and allow sex workers to keep more of what they charge.,Legalization would create economic benefits.,Pro,,],]
41,"This same study says that the German implementation was ""a very limited approach"" with the federal government noting that ""a more broad-based approach to regulating prostitution is required.""",A large German study on the effects of the legalization there showed that such goals had not been met. Legalization hadn’t made prostitution safer; it hadn’t provided women with a safe working environment or a steady job.,Legalization will allow for better protection of the rights of those engaged in sex work.,Con,,],]
42,A 2010 report on Senegal discovered that a large majority of sex workers did not register as they feared stigma from the public and harassment from the police.,"There is strong evidence that sex workers do not take advantage of newly legal opportunities, or register with the state, when sex work is legalised.",Legalization will allow for better protection of the rights of those engaged in sex work.,Con,,],"'These are solvable problems, and suggest that sex workers are happy to register if do not fear stigma and harassment.']"
43,Policemen sometimes demand bribes in the form of sex \(p. 192,"When sex work is illegal, sex workers are particularly vulnerable to abuse by law enforcement.",Legalization will allow for better protection of the rights of those engaged in sex work.,Pro,,],]
44,"In San Francisco, organizations like BAYSWAN \(Bay Areas Sex Worker Advocacy Network\) have had success using collective action to educate and ameliorate working conditions for sex workers.","When sex work is legal, sex workers can access workers' rights and employment law protections. This would allow them to unionise, to sue for withheld wages, etc.",Legalization will allow for better protection of the rights of those engaged in sex work.,Pro,,],]
45,"Sex work has been around for millennia \(hence ""the oldest profession""\) and there is no reason to believe it will ever go away. Legalizing it brings it out of the shadows and reduces the chances of abuse and unwanted exploitation.","Legalization will allow sex workers to more easily seek help from the police and courts if they are assaulted, robbed, etc. while on the job.",Legalization will allow for better protection of the rights of those engaged in sex work.,Pro,,"'Sex work is often a very remunerative activity managed by criminal organisations, often one of their main sources of income. Making it legal would hinder such organisations.']","'Criminalization of buyers have been shown to decreased demand, decrease the number of people in prostitution and decrease trafficking. Legalization have been shown to increase not only the white market but also the black market.']"
46,"It would de-incentivise the practice of pimping, which is often associated to or a result of human trafficking.","The legalization of sex work would make it easier for sex workers to organize and help themselves, for example, through unions.",Legalization will allow for better protection of the rights of those engaged in sex work.,Pro,,],]
47,The right to die is recognised already in places where euthanasia and assisted suicide are permitted.,Laws allowing euthanasia and assisted suicide can be widened in scope to include prisoners.,"If prisoners maintain human rights while incarcerated, they should also be given the same right to die as any other citizen.",Pro,,"'As of March 2018, active human euthanasia is legal in the Netherlands, Belgium, Colombia, Luxembourg, and Canada.', 'Assisted suicide is legal in some countries, including Canada, Belgium, the Netherlands, Luxembourg, Colombia, Switzerland, and parts of the United States and Australia.', ""In 2014 Belgium set a precedent and widened the scope of the country's euthanasia law by allowing a Belgian serving a life sentence for murder and rape the right to an assisted suicide.""]",'-> See 1.2.1.1.2.1.']
48,There exists no self-evident axiom from which to derive meaning or purpose.,Arguments about morality being objective have inevitable logical flaws.,Morality is objective.,Con,,"'Ontologically, something is objective only if it exists independently of the minds of sentient beings. Meaning is ontologically subjective. Since morality is a form of meaningful conduct, morality must itself be subjective.', 'Morality derives from subjective sources, and is therefore itself subjective.', 'The universe is indifferent to right and wrong. It only contains rules regarding what is possible or impossible.', 'The is-ought problem as postulated by Hume indicates that objective facts can never lead to moral statements.']","'The concept of objective reality itself beyond the mind, a la Descartes, is not self-evident. Therefore no discussion of an external objective reality can purport to deal in self-evident axioms. Therefore morality is not inherently diminished as an objective truth claim for not being self-evident.', '""There exists no self-evident axiom to derive meaning or purpose from."" is a self-evident axiom from which we can derive meaning and purpose.', 'Truth might not be axiomatic: moral concepts might be too vague to be structurally formalized, but might nonetheless be true.', 'When we discuss morality, even if we disagree about it, we are using some principle of reason to discuss them. Reason is objective. So morality is objective.', 'Human rights are a self-evident axiom from which we can derive further meaning and purpose.', '""Suffering is bad"" is a self-evident axiom from which to derive purpose.']"
49,"The non-aggression principle is a necessary truth for sentient physical beings, and is therefore objective.","Morality is objective because moral values can be distilled through reason, and reason is objective.",Morality is objective.,Pro,,],"'The non-aggression principle is voluntary, binding only to the individual adherent, and has proven to not be universal. Therefore, if the non-aggression principle has any ties to objective morality, it can only be as an effect, not as a cause.']"
50,Natural rights theory illicitly attempts to derive an ought from an is,Natural Laws are sufficient to declare morality objective.,Morality is objective.,Pro,,],"""Tautology. By using Hume's argument in this way it would basically declare that anything that is happening cannot be a result of what ought to happen. So anything that previously ought to have happened yesterday that is now happening today, erases the ought-ness of it happening at all because it is happening."", 'Hume\'s argument can only be applied in anecdotal cases. That is, something must have occurred first in order to apply Hume to the event. Events that haven\'t happened yet, cannot be an is. Natural rights theory posits that some future event should be guided by what is already natural to humanity. If we are to apply Hume to the ""is"" in this theory of natural rights, the ""is,"" is human nature, so unless we focusing on the ""oughts"" of human nature, Hume doesn\'t apply.', ""That legal theories attempt to derive ought's from an is, is a non-sequitur to the objective truth that humanity suffers from immutable characteristics, which is an objective status of humans.""]"
51,"We have a way of knowing, we can start with the idea that humans are subjective. While this might speak to our understanding of morality, it doesn't speak to morality itself, our understanding of morality, not morality itself, is derived from subjective sources.","Even if morality were objective, we'd have no way of knowing it. Occam's razor of Occam's razor\n\n: a scientific and philosophical rule that entities should not be multiplied unnecessarily which is interpreted as requiring that the simplest of competing theories be preferred to the more complex or that explanations of unknown phenomena be sought first in terms of known quantities.) thus dictates that we should exclude an objective morality from our ontology.",Morality is objective.,Con,,'Our understanding can be derived from either a subjective or objective source.'],]
52,"For something to be objective, it has to be universally true. This is not the case for morality, hence it cannot be objective.",Certain moral truths are inherent to human nature and transcend cultures and time.,Morality is objective.,Pro,,"'Even if moral truths are essential to human nature, humanity represents only a tiny fraction of the universe. For example, ""human life has value"" is universal to nearly all of our species. But if we were to all die today, the universe would be unaffected. Our morals are provably not universal, and therefore not objective.', ""Morality is not objective because it's never been static. There are no moral truths that have permeated human culture and thinking over the past 400,000 years.""]","'Some actions, such a premeditated murder and rape, are universally recognised as evil.', ""Discrimination against LGBT individuals, women and people of color is objectively wrong, regardless of the 'morality' of the particular society and time period in which the act of discrimination occurred."", ""The social cultural response to some moral stimulus may manifest itself culturally specific. However, if morality is objective we wouldn't expect a cookie cutter response. We would however expect a response. Which is what the study showed."", 'Many context-dependant truths are considered ""objective.""']"
53,"Moral statements may be expressions of emotion but that doesn't mean there isn't an ""actual morality"" that is objective - we may just not \(yet\) know it.","Morality does not operate in terms of true and false, hence it cannot be objective since objectiveness relies on these categories.",Morality is objective.,Con,,"""This is likely, because there are moral commonalities between cultures which wouldn't exist otherwise.""]","'It is not merely that when humans make moral statements, they are expressing an emotion, but that this is the actual meaning of the moral statement. Thus it is incoherent for there to be an ""actual morality"" that is objective - emotion and the expression thereof is inherently subjective.']"
54,The construction of morality is based on the intersubjective perception of reality. The value judgement attributed to a certain act is defined by the social-group's perception of the value of that act.,Intersubjective theories of morality adequately explain morality.,Morality is objective.,Con,,"'Morality is a mental construct applied through social conditioning.', 'Moral systems, like languages and monetary currencies, are intersubjective: they exist only because groups of people agree that they exist. If that agreement collapses, the system collapses.']","'Language is also intersubjective. That does not mean that there are not objectively correct ways to speak English. We can evaluate the semantic and syntactic elements of a sentence to evaluate correctness despite it only existing mentally.', ""If reality objectively exists and can be objectively observed, then there might be potential to construct morality based on objective observation. Social groups' perceptions could draw strictly from this potential."", 'The objectivity of morality arises from the spectrum of possible conscious experience. It ranges from suffering to joy, and joyous experiences are preferred to sufferous ones. Since experience is an objective thing that can be evaluated intersubjectively morality must be as well.']"
55,Mathematics and formal logic are purely theoretical constructs that allow for objectively true and false statements.,There are purely theoretical constructs that allow for objectively true or false statements. It is conceivable that morality might belong to this category.,The universe is indifferent to right and wrong. It only contains rules regarding what is possible or impossible.,Con,,],]
56,"Many of the things listed are not universally immoral at all. Stealing from the rich to feed the destitute has been, and is still sometimes, considered to be moral. For example stealing from someone who is taking advantage of the vulnerable can give justification to the action of stealing.","Certain things are universally immoral throughout the ages-the murder of the innocent, rape, taking from the destitute, being a false witness, stealing, plotting against the innocent, taking advantage of the vulnerable, and so on.","Societies have often disagreed about the correct way to carry out or weigh certain values, but many values are universally recognised to be important to some degree.",Pro,,],]
57,"The article cited in the above argument itself demonstrates the subjectivity of the incest taboo. It states ""However, different norms exist among cultures as to which blood relations are permissible as sexual partners and which are not.""",There are moral standards that are the same across time and societies such as the incest taboo,"Societies have often disagreed about the correct way to carry out or weigh certain values, but many values are universally recognised to be important to some degree.",Pro,,"""There are many examples of societies that didn't consider incest as immoral behaviour, such as the Ancient Egyptian monarchies.""]",]
58,"Just because some actions have always been considered as ""bad"" or ""good"" throughout all human history doesn't necessarily mean that those moral rules are objective. It could simply rely on the fact that the consequences of those actions have a negative impact on us regarding the way we fundamentally work. For example, it wouldn't be surprising if torturing babies was, in an evolutionary perspective, against our nature. A moral rule could emerge from that, and it would be entirely relative to us.","Out of everyone who has ever lived, there are very few people who would disagree that torturing innocent children for no reason is moral.","Societies have often disagreed about the correct way to carry out or weigh certain values, but many values are universally recognised to be important to some degree.",Pro,,],]
59,"The non-aggression principle is voluntary, binding only to the individual adherent, and has proven to not be universal. Therefore, if the non-aggression principle has any ties to objective morality, it can only be as an effect, not as a cause.","The non-aggression principle is a necessary truth for sentient physical beings, and is therefore objective.","Morality is objective because moral values can be distilled through reason, and reason is objective.",Pro,,],]
60,"A ""perfectly rational being"", without further specification, does not have any reason to ever do anything, and as such, would not produce or require a code of behaviour.","By deducing a code of behavior of a perfectly rational being, as is done in normative ethics, morality is objectively determined.","Morality is objective because moral values can be distilled through reason, and reason is objective.",Pro,,"'One may imagine a perfectly rational being which seeks to maximise its wellbeing, or one may also imagine a perfectly rational being which seeks to minimise its own wellbeing, or a perfectly rational paperclip maximiser. A generic ""perfectly rational being"" thus has no specific goals.']",]
61,"Moral behaviours or laws are those which, when consistently applied, lead to societal stability. Whether a behaviour has this stabilizing effect could be objectively observed.","Morality is not objective in itself, it could only approximate objectivity in relation to a measurement such as wellbeing of conscious beings.","Morality is objective because moral values can be distilled through reason, and reason is objective.",Con,,"'Human beings have evolved to live in strong social bonds. Being committed to shared moral rules is an evolutionary advantage, and thus biological and objective.', 'Jonathan Haidt is about moral systems that have interlocking sets of values, virtues, norms, practices, identities, institutions, technologies, and evolved psychological mechanisms that work together to suppress or regulate self-interest and make cooperative societies possible.) argues that morality is the product of values, virtues, norms, identities, institutions, technologies, and psychological mechanisms which in combination help suppress and regulate self-interest for the good of society.', 'Morality is a practical concern with the goal of finding tools for how people can interact with other people \\(both personally and on the level of institutions\\) in a mutually beneficial way. It is possible to discuss the goals and tools of morality in a testable and falsifiable way, and a system of morality that is developed in that way is objective in the same way that science is objective \\(even though it is never final\\).']","'If morality is based upon achieving societal stability, it could justify outcomes that are not intuitively moral to the majority of people.', 'This claim relies on an arbitrarily selected objective: maximizing ""societal stability"" for an arbitrary species \\(Homo sapiens\\), in order to create the illusion of objectivity. Defining morality as any arbitrary goal \\(e.g. maximizing the number of paper clips in the universe\\), will always create ""objectivity"". But there is no objective reason to pick any arbitrary goal over any other in the first place.', 'This argument, applied to its logical end, is that the most ""stable"" government is the most moral. This leads to the conclusion that authoritarian governments are the most moral.', 'Talking about ""better"" or ""worse"" ways to use space presupposes the existence of normative truths about which states of affairs are better or worse. Using this to prove the existence of an objective morality therefore begs the question.', 'While some ways of using space lead to outcomes that all group members would consider better or worse, other choices involve trade-offs between competing goods which different group members value more or less highly. In those circumstances, it is not clear that there is an objective standard for assessing competing claims.', 'This implies that if only one person existed, there would be no morality. But this is false.']"
62,"The definition provided for ""rationality,"" believing all that is objectively true, does not help us determine what the 'code of behaviour of a perfectly rational being' would be. As such, there is still subjectivity in how we determine how a perfectly rational being would act.","Rationality alone is insufficient to specify behavior, as behavior is driven by choice and some choices cannot be made by pure rationality alone.","Morality is objective because moral values can be distilled through reason, and reason is objective.",Con,,],'This does not imply that the normative propositions are subjective; it merely implies that how humans determine what normative propositions are true is subjective.']
63,"If bounded rationality is in opposition to normative ethics, and by extension, humans cannot fully grasp a moral because of their limitations, this would mean that morality must be objective, since it is implied that humans cannot rationalize it fully.",Humans possess ''bounded rationality due to the limitations of evolution on the development of the brain.,"Morality is objective because moral values can be distilled through reason, and reason is objective.",Con,,],]
64,"Emotion can play a role without compromising rationality. Like standing up to a bully can be exciting, scary, nerve racking, but the rationality that lead up to one's defensive position is only compromised if it fails to follow through with what was logically concluded.","Morality is a system of emotional responses a ""moral sense"", rather than a system that is rationally determined.","Morality is objective because moral values can be distilled through reason, and reason is objective.",Con,,],"'Rationality alone can never dictate action. Ultimately, standing up to a bully \\(or whatever conscious choice\\) is based fundamentally in feelings \\(emotions\\).']"
65,Objective needs or desires are not the same as objective morality.,Morality is designed to ensure that a full human life is both possible and desirable. This makes claims as to the inherent subjectivity of morality inherently false since human beings and their needs and desires objectively exist.,"Morality is objective because moral values can be distilled through reason, and reason is objective.",Pro,,],]
66,"A person's morality develops from a set of external rulesets, ethics, under the direction of one's ego. Whether the ego conforms or rejects an ethic is dependent on one's personal situation and experience. Because the human ego is ultimately self-serving, whatever serves the self may change for any reason or no reason. This is the very definition of subjectivism.","The available evidence shows that our moral reasoning, intuitions, and values derive from our subjective experiences, and as such it's unlikely that moral truth statements arising from those are mind-independent i.e. objective.","Morality is objective because moral values can be distilled through reason, and reason is objective.",Con,,"'From the perspective of evolutionary biology, humans are ""survival machines Against this backdrop, the ego has to be interpreted as self-serving.']","""Morality is linked to an individual's ability to empathize - the ability to cognitively and emotionally relate to another's experience as if it were our own.""]"
67,All notions of value will bear some relationship to the actual or potential experience of conscious beings.,A utilitarian approach to morality - the principle that the maximization of well-being is good - is correct and objective.,"Morality is objective because moral values can be distilled through reason, and reason is objective.",Pro,,],]
68,"This is a petitio principii because it assumes that the premises can not be justified by something else. The truth of the premises of moral frameworks might, for example, be justifiable with philosophical arguments.","Moral frameworks may allow for objective assessments, but only if a certain series of premises are accepted as supreme \(e.g the categorical imperative or that outcomes matter more than intent\). The frameworks themselves do not justify the supremacy of those premises.","Morality is objective because moral values can be distilled through reason, and reason is objective.",Con,,],]
69,"A person can have hands, therefore they ought to be able to use their hands for working","Hume's ""ought from an is"" problem is specifically focused on what is, \(a person doing x\) cannot inform on what a person ought to do. To properly use Hume's argument, we could say, ""a person doing x doesn't inform us on whether a person should do x."" But this isn't valid to natural rights since the argument would be, ""A person has x, therefore they ought to be able to use their x for y""","It is true that people can express themselves by their ability to speak, yet it cannot be logically deduced that this is good, proper, or should be defended \(is cannot be logically deduced from ought\). That is, it cannot logically be deduced that this is a right, let alone a natural right. That you can do X doesn't imply that you have a right to do X.",Con,,],"""A person can use their hands for hurting other people or stealing, yet one does not have a right to do such things. Thus, merely having the means to do something doesn't give one a right to do it."", 'This is a non sequitur.']"
