,argument,sa_argument,hypothesis,is_fallacy
11,"The USE will create a European identity. It will create a sense of belonging to, and sharing of, the European continent and its values, and create mutual responsibility for the future of Europe.","The USE will MSK<0> a MSK<1> identity . MSK<2> will MSK<0> a sense of belonging to , and sharing of , the MSK<1> MSK<1> and MSK<2> values , and MSK<0> mutual responsibility for the future of MSK<1> . ",This argument is fallacious.,0
12,"The use of homeopathy, given its lack of scientific evidence, will undermine people's faith in the public health system.","The use of homeopathy , given its lack of scientific evidence , will undermine people 's faith in the public health system . ",This argument is fallacious.,0
13,"The USE will allow citizens a greater freedom to study, live, and work where they want.","The USE will allow MSK<0> a greater freedom to study , live , and work where MSK<0> want . ",This argument is fallacious.,0
14,"According to the paradox of tolerance enabling certain liberties, such as hate speech, may have an overall negative impact over freedom.","According to the paradox of tolerance enabling certain MSK<0> , such as hate speech , may have an overall negative impact over MSK<0> . ",This argument is fallacious.,0
15,"Monuments do not signify the enduring morality of the subject, but celebrate an aspect of their character within the context. Sometimes monuments celebrate nothing except a person's importance to history, good or bad.","MSK<0> do not signify the enduring morality of the subject , but MSK<1> an aspect of MSK<0> character within the context . Sometimes monuments MSK<1> nothing except a person 's importance to history , good or bad . ",This argument is fallacious.,0
16,"Consuming meat is an important part of many culture's cuisines, religions, and practices.","Consuming meat is an important part of many culture 's cuisines , religions , and practices . ",This argument is fallacious.,0
17,"A UBI is used as a way of merely making techno-capitalism — a system that fuels inequalities \(Suarez-Villa, p. 162 — more tolerable for people, instead of addressing the root causes of exploitation and economic inequality.","A UBI is used as a way of merely making techno - MSK<2> MSK<0> a system that fuels MSK<1> \ ( Suarez - Villa , p. 162 MSK<0> more tolerable for people , instead of addressing the root causes of exploitation and MSK<2> MSK<1> . ",This argument is fallacious.,0
18,"Eating meat is a central part of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind.","Eating meat is a central part of human nature , evolution , MSK<0> and thus MSK<0> consumption is inherent to humankind . ",This argument is fallacious.,0
19,"Humankind has wasted too much time, effort and resources on religion, with few to no practical results.","Humankind has wasted too much time , effort and resources on religion , with few to no practical results . ",This argument is fallacious.,0
20,"Part of Palestine, the Gaza Strip, is ruled by Hamas a group that the US recognises as a radical Islamist terrorist group. Recognising a Palestine that is partially ruled by Hamas is equivalent to legitimising a terrorist organisation.","Part of MSK<0> , the MSK<0> Strip , is MSK<1> by MSK<2> a MSK<3> that the US MSK<4> as a MSK<5> MSK<5> MSK<5> MSK<3> . MSK<4> a MSK<0> that is partially MSK<1> by MSK<2> is equivalent to legitimising a MSK<5> organisation . ",This argument is fallacious.,0
21,"If there was a second referendum, and Britain voted this time to remain,it would not dissolve UK eurosceptism or solve the divisions in the UK.","If there was a second referendum , and MSK<0> voted this time to remain , MSK<0> would not dissolve MSK<1> eurosceptism or solve the divisions in MSK<1> . ",This argument is fallacious.,0
22,"Attempting to impeach President Trump would be a waste of time, money, and effort that could be spent on more important issues.","Attempting to impeach President Trump would be a waste of time , money , and effort that could be spent on more important issues . ",This argument is fallacious.,0
23,"If God were omnipotent, omniscient, and omnibenevolent, then evil would not exist.","If God were MSK<0> , MSK<0> , and omnibenevolent , then evil would not exist . ",This argument is fallacious.,0
24,"The ability of people to access abortion services, and have control over their own reproduction, is fundamental to achieving gender equality.","The ability of MSK<0> to access abortion services , and have control over MSK<0> own reproduction , is fundamental to achieving gender equality . ",This argument is fallacious.,0
25,"Adopting other cultures to simply enjoy \(e.g. listening to other cultures' music, celebrating their holidays, or enjoying their food\) is not harmful.","Adopting other cultures to simply MSK<0> \ ( e.g. listening to MSK<1> music , celebrating MSK<1> holidays , or MSK<0> MSK<1> food \ ) is not harmful . ",This argument is fallacious.,0
26,"While life arguably begins at conception, ""life"" is technically present in insects and bacteria, both of which we kill billions of every day without any moral dilemma. What makes the life of humans and some animals different is consciousness, and fetuses don't have the structures which science sees as responsible for consciousness.","While MSK<0> arguably begins at conception , "" MSK<0> "" is technically present in insects and bacteria , both of which we kill billions of every day without any moral dilemma . What makes the MSK<0> of humans and some animals different is MSK<1> , and fetuses don't have the structures which science sees as responsible for MSK<1> . ",This argument is fallacious.,0
27,"Legalisation will expand the sex industry as a whole and in doing so expand the unregulated sector of that industry that promotes rape, transmission of STDs, trafficking, and child exploitation.","Legalisation will MSK<0> MSK<1> as a whole and in doing so MSK<0> the unregulated sector of MSK<1> that promotes rape , transmission of STDs , trafficking , and child exploitation . ",This argument is fallacious.,0
28,"On the ground of physical harm, it makes no sense to keep public nudity, which doesn't cause any harm, illegal when confirmed harmful substances, like alcohol, remain legal.","On the ground of physical MSK<0> , it makes no sense to keep public nudity , which doesn't cause any MSK<0> , MSK<1> when confirmed harmful substances , like alcohol , remain MSK<1> . ",This argument is fallacious.,0
29,"In the U.S. providing a UBI of $10,000 \(just below the poverty level\) to 300 million Americans would cost over $3 trillion dollars, easily eclipsing current levels of tax revenue","In the U.S. providing a UBI of $ 10,000 \ ( just below the poverty MSK<0> \ ) to MSK<1> MSK<1> Americans would cost over $ MSK<1> MSK<1> dollars , easily eclipsing current MSK<0> of tax revenue ",This argument is fallacious.,0
30,"The legalization of drugs means that they are taken, and disposed of, more safely and cautiously than in the current environment.","The legalization of drugs means that they are taken , and disposed of , more safely and cautiously than in the current environment . ",This argument is fallacious.,0
31,"The reliability of a UBI, relative to other forms of welfare, allows the poor the ability to better plan and budget their spending.","The reliability of a UBI , relative to other forms of welfare , allows the poor the ability to better plan and budget their spending . ",This argument is fallacious.,0
32,"The initial vote was advisory and non-binding in law, thus, the vote on a final deal makes the most sense.","MSK<0> was advisory and non-binding in law , thus , MSK<0> makes the most sense . ",This argument is fallacious.,0
33,"The average citizen, unlike a professional politician, is not able to make well-grounded decisions about complex political subject matters.","The average citizen , unlike a professional politician , is not able to make well - grounded decisions about complex political subject matters . ",This argument is fallacious.,0
34,"Scientific evidence does not fully answer this question yet, but it's likely that gender is both biological and socially constructed. Society's influence on gender has developed and changed over time as human cultures have evolved, but the biological influence has been ever-present along with the social influences. It will be difficult to separate the two influences entirely.","MSK<0> does not fully answer this question yet , but MSK<0> 's likely that MSK<1> is both biological and MSK<4> constructed . MSK<2> MSK<1> has developed and changed over time as human cultures have evolved , but MSK<2> has been ever - present along with the MSK<4> MSK<3> . MSK<2> will be difficult to separate the two MSK<3> entirely . ",This argument is fallacious.,0
35,"Real, absolute freedom means the freedom to say anything you like, including hateful things.","Real , absolute MSK<0> means the MSK<0> to say anything you like , including hateful things . ",This argument is fallacious.,0
36,"Churches are tax exempt, not because they are charities or that the government considers religion to be a charitable cause, but because their organizational and financial structure is that of a non-profit agency. Any organization can file under this non-profit status, it has nothing to do with anything the organization does, it's strictly based on how their finances operate.","MSK<0> are tax exempt , not because MSK<0> are MSK<4> or that the government considers religion to be a MSK<4> MSK<4> , but because MSK<0> organizational and MSK<3> structure is that of a MSK<1> agency . MSK<2> can file under this MSK<1> status , MSK<2> has nothing to do with anything MSK<2> does , MSK<2> 's strictly based on how MSK<0> MSK<3> operate . ",This argument is fallacious.,0
37,"There is nothing dignified about getting money for nothing. A sense of dignity comes from experiencing the accomplishment of a job well done, and the value one's work provides to others - which is primarily expressed through payment. Thus, earning one's living is dignified, whereas living off others is not.","There is nothing MSK<0> about getting money for nothing . A sense of dignity comes from experiencing the accomplishment of a MSK<1> well done , and the value one 's MSK<1> provides to others - which is primarily expressed through payment . Thus , earning one 's living is MSK<0> , whereas living off others is not . ",This argument is fallacious.,0
38,"In order to respect everyone's opinion and differences, there are already defined places where social nudity is acceptable. Properly separated, they do not cause offense to those who disagree.","In order to respect everyone 's opinion and differences , there are already defined places where social nudity is acceptable . Properly separated , they do not cause offense to those who disagree . ",This argument is fallacious.,0
39,"The movie sets up and launches the Star Wars series beyond what was established in the original and prequel trilogies in terms of its narratives, themes, and plot.","MSK<0> sets up and launches the MSK<1> MSK<1> MSK<1> beyond what was established in the original and MSK<1> MSK<1> in terms of MSK<0> narratives , themes , and plot . ",This argument is fallacious.,0
40,"People purchase the labour and time of others in countless everyday transactions. Monetary exchange, in and of itself, does not diminsh the consent of the parties involved.","People purchase the labour and time of others in countless everyday transactions . coref0 , does not diminsh the consent of the parties involved . ",This argument is fallacious.,0
41,"Other jurisdictions \(countries, cities, etc\) with stronger gun control laws have generally lower rates of crime and violence.","Other jurisdictions \ ( countries , cities , etc \ ) with stronger gun control laws have generally lower rates of crime and violence . ",This argument is fallacious.,0
42,"With no new trade agreement with the EU, the rules of the World Trade Organisation would apply. Tariffs would be imposed on goods that the UK sends to the EU, which would negatively affect many British companies who rely on this trade.","With no new MSK<0> agreement with MSK<1> , the rules of the World MSK<0> Organisation would apply . Tariffs would be imposed on goods that the UK sends to MSK<1> . ",This argument is fallacious.,0
43,"It would be unconscionable to tax religious organizations, which operate as a structure onto which religious beliefs are formalized. To tax them is akin to taxing those beliefs. Since these beliefs also do not produce anything material, it is also akin to taxing the “immaterial realm”.","It would be unconscionable to MSK<0> religious organizations , which operate as a structure onto which MSK<1> are formalized . To MSK<0> MSK<1> is MSK<2> to MSK<0> those beliefs . Since MSK<1> also do not produce anything material , MSK<1> is also MSK<2> to MSK<0> the “ immaterial realm ” . ",This argument is fallacious.,0
44,"International law, as well as the domestic law in many countries, is against the use of torture.","International MSK<0> , as well as the domestic MSK<0> in many countries , is against the use of torture . ",This argument is fallacious.,0
45,"There is a higher correlation between unemployment and crime than between income level and crime. If the economic impoverishment thesis for crime holds, unemployed people receiving the UBI would still be equally likely to commit crime. \(Hooge et al, 2011","There is a higher correlation between MSK<1> and MSK<0> than between income level and MSK<0> . If the economic impoverishment thesis for MSK<0> holds , MSK<1> people receiving the UBI would still be equally likely to commit MSK<0> . \ ( Hooge et al , 2011 ",This argument is fallacious.,0
46,"The bomb\(s\) were also dropped, in part, out of racial prejudices against the Japanese people, which had escalated in American society following the attack of Pearl Harbor.","The bomb \ ( s \ ) were also dropped , in part , out of racial prejudices against the Japanese people , which had escalated in American society following the attack of Pearl Harbor . ",This argument is fallacious.,0
47,"Some families, due to their cultural or religious backgrounds, may be against it.","coref0 , may be against it . ",This argument is fallacious.,0
48,"About half of the world's farm land is pasture land, which is not suited for growing crops, and ideally used for grazing animals.","About half of the world 's farm MSK<0> is pasture MSK<0> , which is not suited for growing crops , and ideally used for grazing animals . ",This argument is fallacious.,0
49,"In Sweden \(one of the largest welfare states\) if each citizen were given a basic liveable income of 12,000€/year, the annual cost of this policy alone would be as much as the government spends in total This seems unaffordable.","In Sweden \ ( one of the largest welfare states \ ) if each citizen were given a basic liveable income of 12,000 € / year , the annual cost of this policy alone would be as much as the government spends in total This seems unaffordable . ",This argument is fallacious.,0
50,"Unlike an adult, a small child cannot understand the implications of circumcision, and is therefore incapable of consenting to the procedure.","Unlike an adult , a small child can not understand the implications of circumcision , and is therefore incapable of consenting to the procedure . ",This argument is fallacious.,0
51,"Equality of opportunity, which can be achieved through affirmative action policies, is unlikely to be popular when huge portions of the budget are already being spent on a UBI.","Equality of opportunity , which can be achieved through affirmative action policies , is unlikely to be popular when huge portions of the budget are already being spent on a UBI . ",This argument is fallacious.,0
52,"Faith and science both make fundamental claims about the world we live in, but use different methods for arriving at those claims. Therefore, conflict will always arise between the two.","Faith and science both make fundamental MSK<0> about the world we live in , but use different methods for arriving at those MSK<0> . Therefore , conflict will always arise between the two . ",This argument is fallacious.,0
53,"Removing the electoral college would cause candidates to focus on the most populous parts of the country, especially cities, leaving many rural areas behind.","Removing the electoral college would cause candidates to focus on the most populous parts of the country , especially cities , leaving many rural areas behind . ",This argument is fallacious.,0
54,"There are a vast number of people, approximately 2.2 billion Christians \(32% of the world’s population\), 1.6 billion Muslims \(23%\), and 14 million Jews \(0.2%\), who believe in this origin story.","There are a vast number of people , approximately MSK<1> MSK<3> \ ( MSK<2> % of the world ’s population \ ) , MSK<1> MSK<3> \ ( MSK<2> % \ ) , and 14 MSK<3> \ ( MSK<1> % \ ) , who believe in this origin story . ",This argument is fallacious.,0
55,"The use of referendums, especially on a UK-wide basis, contradicts the principle of parliamentary supremacy","The use of referendums , especially on a UK - wide basis , contradicts the principle of parliamentary supremacy ",This argument is fallacious.,0
56,"The Modi government overcame a no confidence motion, heavily defeating the motion. There were 325 confidence votes and 126 no confidence votes, a margin of 199 votes.","The Modi government overcame MSK<0> , heavily defeating MSK<0> . There were 325 MSK<1> MSK<2> and MSK<3> no MSK<1> MSK<2> , a margin of MSK<3> MSK<2> . ",This argument is fallacious.,0
57,"Religion is a cultural system of behaviors, developed by humans to organize societies. Thus it is constructed, and so are the teachings of each religious belief.","MSK<0> is a cultural system of behaviors , developed by humans to organize societies . Thus MSK<0> is constructed , and so are the teachings of each religious belief . ",This argument is fallacious.,0
58,"The referendum was badly drafted, because it did not distinguish between vastly different versions of Brexit. Leave voters themselves do not agree which version they want. If and when the Government eventually decides what Brexit it wants, the majority of the public may be against it.","MSK<0> was badly drafted , because MSK<0> did not distinguish between vastly different MSK<1> of MSK<2> . Leave voters MSK<3> do not agree which MSK<1> MSK<3> MSK<4> . If and when MSK<5> eventually decides what MSK<2> MSK<5> MSK<4> , the majority of the public may be against MSK<5> . ",This argument is fallacious.,0
59,"Many people, and especially children, may find the sight of nudity disturbing.","Many people , and especially children , may find the sight of nudity disturbing . ",This argument is fallacious.,0
60,"Multiple god claims exist and multiple denominations within said claims. Many of them carry damnation or punishment for believing in the wrong god, or worshiping in the wrong fashion. This effectively makes believing in a particular god a form of lottery, with damnation for choosing incorrectly.","MSK<0> exist and multiple denominations within said claims . Many of MSK<0> carry MSK<1> or punishment for MSK<2> in the MSK<3> MSK<4> , or worshiping in the MSK<3> fashion . This effectively makes MSK<2> in a particular MSK<4> a form of lottery , with MSK<1> for choosing incorrectly . ",This argument is fallacious.,0
61,"A basic income would provide a person with multiple chances to become financially literate. Currently, without affluent parents or any other sturdy safety net, one or two bad decisions or unlucky outcomes can be a slippery slope into debt and/or poverty.","A basic income would provide a person with multiple chances to become financially literate . Currently , without affluent parents or any other sturdy safety net , one or two bad decisions or unlucky outcomes can be a slippery slope into debt and / or poverty . ",This argument is fallacious.,0
62,"India rose from 130th to 100th place in the World Bank's 2017 ""Ease of Doing Business"" rankings, and to 77th in the 2019 report, which is encouraging for potential investors.","India rose from 130th to 100th place in the World Bank 's MSK<0> "" Ease of Doing Business "" rankings , and to 77th in the MSK<0> report , which is encouraging for potential investors . ",This argument is fallacious.,0
63,"Identity politics tries to solve complex problems by oversimplifying complex issues solely for the purpose of garnering political support. It fails society because the premise it is based on is that whenever we can measure an aggregate statistic, no matter how poorly-defined, and correlate that with a trivial observation about gender, sex, etc -- the second one must cause the first.","Identity MSK<2> tries to solve MSK<3> by oversimplifying MSK<3> solely for the purpose of garnering MSK<2> support . MSK<1> fails society because the premise MSK<1> is based on is that whenever we can measure an aggregate statistic , no matter how poorly - defined , and correlate that with a trivial observation about gender , sex , etc -- the second one must cause the first . ",This argument is fallacious.,0
64,"Intimate relationships are built on trust, and cheating is a breach of trust. By not telling your partner about it, that trust will be further eroded, whereas telling your partner allows you to begin to rebuild it.","Intimate relationships are built on trust , and cheating is MSK<0> . By not MSK<2> about MSK<0> , MSK<3> will be further eroded , whereas MSK<2> allows coref2 to begin to rebuild MSK<3> . ",This argument is fallacious.,0
65,"Bernie Sanders is too left-leaning to optimally contest Trump. A centrist would receive almost all of the vote from the left \(if pitted against Trump\) while better competing for libertarian, centrist, and disaffected republican voters.","Bernie Sanders is too MSK<0> - leaning to optimally contest MSK<1> . A MSK<2> would receive almost all of the vote from the MSK<0> \ ( if pitted against MSK<1> \ ) while better competing for libertarian , MSK<2> , and disaffected republican voters . ",This argument is fallacious.,0
66,"The people, as the sovereign, must have the right to directly influence political decisions.","The people , as the sovereign , must have the right to directly influence political decisions . ",This argument is fallacious.,0
67,"Other currently legal substances such as alcohol, tobacco, and prescription opioids have far less positive impact on users health.","Other currently legal substances such as alcohol , tobacco , and prescription opioids have far less positive impact on users health . ",This argument is fallacious.,0
68,"India is the largest producer \(25% of global production\), consumer \(27% of world consumption\) and importer \(14%\) of pulses in the world. PM Modi has partnered with Mozambique in order to reduce the cost of importing pulses. The two countries signed three pacts, including a significant “long-term agreement” under which India will buy pulses to meet its recurring shortfall and contain prices of the commodity.","MSK<0> is the largest MSK<7> \ ( MSK<3> % of global MSK<7> \ ) , consumer \ ( MSK<3> % of MSK<1> consumption \ ) and MSK<4> \ ( 14 % \ ) of MSK<2> in the MSK<1> . PM Modi has partnered with Mozambique in order to reduce the MSK<5> of MSK<4> MSK<2> . The two countries signed three pacts , including a significant MSK<6> long - term agreement MSK<6> under which MSK<0> will buy MSK<2> to meet MSK<0> recurring shortfall and contain MSK<5> of the commodity . ",This argument is fallacious.,0
69,"The vastly increased cast of characters, and the need to give each of them an arc, lead to numerous subplots that bloated the film's runtime and had little effect on the plot.","The vastly increased cast of MSK<0> , and the need to give each of MSK<0> an arc , lead to numerous subplots that bloated the film 's runtime and had little effect on the plot . ",This argument is fallacious.,0
70,"Mutilation is the act of cutting off or injuring a body part so that part is damaged, disfigured, and/or permanently altered. Circumcision does just this.","Mutilation is the act of cutting off or injuring a body part so that part is damaged , disfigured , and / or permanently altered . Circumcision does just this . ",This argument is fallacious.,0
71,"Government-funded research and education is a key driver of innovation, yet its returns mostly accrue to the owners of capital. By helping to circulate wealth from the rich to the lower and middle classes, a UBI helps recapture this public investment for the public itself.","Government - funded research and education is a key driver of innovation , yet its returns mostly accrue to the owners of capital . By MSK<0> to circulate wealth from the rich to the lower and middle classes , a UBI MSK<0> recapture this public investment for coref0 . ",This argument is fallacious.,0
72,"Many forms of creative expression, such as art or writing, are not pursued because only the most successful artists or writers can generate a self-sustaining income.","Many forms of creative expression , such as art or MSK<0> , are not pursued because only the most successful artists or MSK<0> can generate a self - sustaining income . ",This argument is fallacious.,0
73,"Psychological investigations into the origin of morality find that all humans have approximately six innate moral senses which originate in the subconscious. While these moral senses are tuned by culture, they are universally present regardless of exposure to religion. Therefore, morality exists in the human mind without religion.","Psychological investigations into the origin of MSK<0> find that all MSK<1> have MSK<2> . While MSK<2> are tuned by culture , MSK<2> are universally present regardless of exposure to MSK<3> . Therefore , MSK<0> exists in the MSK<1> mind without MSK<3> . ",This argument is fallacious.,0
74,"Without the effect of the forbidden fruit, drugs would not be 'cool' anymore \(subcultures, arts, musicians, writers, etc.\). Removing this effect would minimize the number of people who use drugs because they feel insecure or want to belong in a group.","Without MSK<0> , MSK<1> would not be ' cool ' anymore \ ( subcultures , arts , musicians , writers , etc. \ ) . Removing MSK<0> would minimize the number of people who use MSK<1> because they feel insecure or want to belong in a group . ",This argument is fallacious.,0
75,"It is not contradictory to be all powerful, all knowing, and perfectly good. One is about ability to act, one is about ability to know, and one is about moral evaluation of actions or character.","It is not contradictory to be all powerful , all MSK<0> , and perfectly good . One is about MSK<1> to act , one is about MSK<1> to MSK<0> , and one is about moral evaluation of actions or character . ",This argument is fallacious.,0
76,"By consciously acting, rather than passively watching, you bear more responsibility for choosing to kill one person than for merely allowing five people to die.","By consciously acting , rather than passively watching , you bear more responsibility for choosing to kill one person than for merely allowing five people to die . ",This argument is fallacious.,0
77,"The BJP received 31% of the votes in the 2014 elections. While this was enough to form a majority government, they did not receive the support of the majority of the voting public, and definitely not of the majority of Indians.","MSK<0> MSK<1> 31 % of the MSK<2> in the 2014 elections . While MSK<0> was enough to form a MSK<3> government , MSK<0> did not MSK<1> the support of the MSK<3> of the MSK<2> public , and definitely not of the MSK<3> of Indians . ",This argument is fallacious.,0
78,"El principal motivo para la independencia de una comunidad política es el deseo de esta comunidad política de ser independiente; los islandeses, los noruegos y los eslovacos solo tenían este motivo. Más de un 80% de catalanes están a favor del derecho a decidir y, por tanto, consideran que la comunidad política que debe decidir es la catalana. Un referéndum es la solución","MSK<0> principal MSK<1> para MSK<2> independencia MSK<3> una MSK<5> es MSK<0> deseo MSK<3> esta MSK<5> MSK<3> ser independiente ; MSK<2> islandeses , MSK<2> noruegos MSK<6> MSK<2> eslovacos solo tenían este MSK<1> . Más MSK<3> MSK<7> 80 % MSK<3> catalanes están a favor del derecho a MSK<8> MSK<6> , por tanto , consideran MSK<9> MSK<2> MSK<5> MSK<9> debe MSK<8> MSK<10> MSK<2> catalana . MSK<7> referéndum MSK<10> MSK<2> solución ",This argument is fallacious.,0
79,"There is a chance that a well-trained, armed teacher could shoot and kill a rampaging shooter, saving lives.","There is a chance that a well - trained , armed teacher could shoot and kill a rampaging shooter , saving lives . ",This argument is fallacious.,0
80,"Brits don't particularly want to work in the EU None of the top 3 countries that Brits emigrate to are in the EU \(Australia, US, Canada are top 3\), with the fourth - Spain - mainly for retirement and not work.  More than 3 times as many Brits have emigrated to New Zealand than Germany, despite Germany being much closer and much bigger.","MSK<0> don't particularly want to MSK<1> in the MSK<2> None of the top MSK<3> countries that MSK<0> MSK<4> to are in the MSK<2> \ ( MSK<5> , US , MSK<5> are top MSK<3> \ ) , with the fourth - MSK<5> - mainly for retirement and not MSK<1> . More than MSK<3> times as many Brits have MSK<4> to MSK<5> MSK<5> than MSK<5> , despite MSK<5> being much closer and much bigger . ",This argument is fallacious.,0
81,"There are social, psychological, and sociological reasons to doubt that God exists.","There are social , psychological , and sociological reasons to doubt that God exists . ",This argument is fallacious.,0
82,"A study conducted on a large cohort of circumcised males showed that foreskin is important for penile sensitivity, overall sexual satisfaction, and penile functioning.","A study conducted on a large cohort of circumcised males showed that foreskin is important for MSK<0> sensitivity , overall sexual satisfaction , and MSK<0> functioning . ",This argument is fallacious.,0
83,"In particular 'hard drugs \(opiates, oxycodone, morphine, benzodiazepines, flunitrazepam, clonazepam, lorazepam, methamphetamine \(meth\), cocaine, GHB\) pose a danger to the life and well-being of the user and others.","In particular ' hard MSK<1> \ ( MSK<1> , MSK<1> , MSK<1> , MSK<2> , MSK<2> , MSK<2> , MSK<2> , MSK<0> \ ( MSK<0> \ ) , MSK<1> , GHB \ ) pose a danger to the life and well - being of the user and others . ",This argument is fallacious.,0
84,"""Feminism"" has been used to label a wide variety of ideas, including many mutually contradictory ones. Some of these world views seek equality, but others do not.",""" Feminism "" has been used to label a wide variety of ideas , including many mutually contradictory ones . Some of these world views seek equality , but others do not . ",This argument is fallacious.,0
85,"A person can come to know God exists by learning about his will and then practicing it for a period of time If what you have learned and implemented is true, God will communicate it to you, and by this you will know that God exists.","A person can come to MSK<0> MSK<1> MSK<2> by MSK<3> about MSK<1> and then practicing MSK<4> for a period of time If what MSK<5> have MSK<3> and implemented is true , MSK<1> will communicate MSK<4> to MSK<5> , and by this MSK<5> will MSK<0> that MSK<1> MSK<2> . ",This argument is fallacious.,0
86,"Prohibition simply does not work. Whether one looks at historical or modern examples, the prohibition of a substance, any substance, only gives it the allure of the forbidden.","Prohibition simply does not work . Whether one looks at historical or modern examples , MSK<0> , only gives MSK<0> the allure of the forbidden . ",This argument is fallacious.,0
87,"The practicalities of implementing such a policy would make it incredibly difficult, if not impossible, to implement in some countries.","The practicalities of MSK<0> MSK<1> would make MSK<1> incredibly difficult , if not impossible , to MSK<0> in some countries . ",This argument is fallacious.,0
88,"In the event of a hard Brexit, Britain will overnight be excluded from EU arrangements with “third countries”, or non-EU countries, entering the equivalent of a legal void in key parts of its external commercial relations. This exclusion will mean that the UK will have to renegotiate 759 treaties.","In the event of a hard Brexit , MSK<0> will overnight be MSK<2> from MSK<4> arrangements with MSK<3> third MSK<1> MSK<3> , or MSK<4> MSK<1> , entering the equivalent of a legal void in key parts of MSK<0> external commercial relations . This MSK<2> will mean that the UK will have to renegotiate 759 treaties . ",This argument is fallacious.,0
89,"Embracing diversity, including gender diversity, enriches society by making it more nuanced and interesting.","MSK<0> , enriches society by making MSK<0> more nuanced and interesting . ",This argument is fallacious.,0
90,"In the US, federal agencies are often sloppy in their administration of programs, and Congress provides little serious oversight.","In the US , MSK<0> are often sloppy in MSK<0> administration of programs , and Congress provides little serious oversight . ",This argument is fallacious.,0
91,"The all or nothing nature of the electoral college deters citizens from participating in the political process, because it leads to situations where one vote won't change the outcome on the state level, thus rendering the votes of people outside swing states essentially meaningless.","MSK<0> deters citizens from participating in the political process , because MSK<0> leads to situations where one MSK<1> won't change the outcome on the MSK<2> level , thus rendering the MSK<1> of people outside swing MSK<2> essentially meaningless . ",This argument is fallacious.,0
92,"The right of abortion must always be given, as long as it does not threaten the mother's health, regardless of the person's reasons.","MSK<0> must always be given , as long as MSK<0> does not threaten MSK<1> health , regardless of MSK<1> reasons . ",This argument is fallacious.,0
93,"If Britain wants to trade with the EU, it will still be forced to follow EU trade regulations, but without any input on what those regulations are.","If MSK<0> wants to trade with the EU , MSK<0> will still be forced to follow MSK<1> , but without any input on what MSK<1> are . ",This argument is fallacious.,0
94,"Removing restrictions on exposed nipples does not prevent women from preserving the private nature of their nudity, it only empowers them to choose to do so or not, rather than having that decision forced upon them.","Removing restrictions on exposed nipples does not prevent MSK<0> from preserving the private nature of MSK<0> nudity , it only empowers MSK<0> to choose to do so or not , rather than having that decision forced upon MSK<0> . ",This argument is fallacious.,0
